Prof_A,Prof_B,Prof_C
75.09,555,718
69.35,549,698
73.46,544,701
69.28,561,703
72.85,563,653
89.36,545,712
72.94,553,706
61.7,553,688
79.03,542,703
75.67,542,693
81.76,543,663
93.29,547,688
69.06,559,662
78.52,561,715
86.55,558,704
86.67,551,693
80.05,544,686
84.83,544,714
91.35,544,693
86.99,538,740
85.51,556,685
80.64,548,670
88.01,554,692
63.36,562,688
71.2,541,674
71.1,559,699
80.47,544,700
81.08,552,678
81.65,534,666
86.09,551,695
79.8,538,692
69.81,554,689
97.11,526,679
88.87,559,704
76.64,559,714
84.98,562,697
93.22,530,684
75.37,552,692
73.66,542,665
100,563,671
81.25,557,687
76.84,551,689
71.93,545,663
77.51,560,703
70.73,535,693
91.98,543,705
89.96,535,697
92.48,543,670
78.38,552,687
80.46,566,688
78.7,561,699
77.93,550,695
78.43,562,675
80.11,557,673
76.68,549,706
77.74,550,698
91.52,557,658
77.22,537,697
86.42,550,706
88.65,557,690
59.43,538,673
78.66,561,682
92.55,542,692
86.44,552,671
91.98,534,692
78.49,553,706
91.79,525,689
78.27,534,673
89.25,557,684
96.88,551,697
85.09,547,707
81.45,554,710
78.38,550,730
85.22,542,680
77.91,548,679
79.52,547,722
79.23,565,685
81.95,561,682
88.66,537,697
74.72,530,705
92.16,542,692
74.55,558,707
85.61,561,688
91.11,551,684
78.16,550,696
70.75,540,663
80.68,554,677
80.35,546,680
81.59,537,709
69.62,550,680
70.43,550,686
81.29,553,659
84.91,553,696
81.7,543,718
89.59,557,682
78.47,548,698
78.23,547,691
76.84,548,711
87.94,535,693
74.82,540,709
