program,pre_test,post_test,one_year
brochure,9.102941266,7.278494911,7.494373867
brochure,8.036746456,5.701971322,5.220048343
brochure,6.196753413,7.424708159,6.088947587
brochure,7.326511313,8.875913809,4.44089915
brochure,7.953806456,6.318970701,5.51096745
brochure,9.058412165,7.832593873,5.907928409
brochure,7.241884734,4.762654202,6.562132605
brochure,8.180338274,7.334507531,7.614170861
brochure,5.582000532,6.043519193,5.164088108
brochure,7.701935036,6.674782568,5.209566643
peer,8.157494498,6.065599668,4.33
peer,8.488041847,4.72372219,4.2
peer,7.278051319,5.611271219,4.487468092
peer,8.466131465,5.283877548,3.419347158
peer,7.214624656,3.311064817,4.5
peer,7.81034918,4.226699043,4.226346112
peer,7.719028978,5.995294459,7.479137796
peer,7.400468028,3.429956768,5.91329116
peer,9.398462023,4.586602887,6
peer,6.823692277,3.711213228,5.933772341
clinician,8.404294068,3.962644776,4.069305062
clinician,9.34424265,3.336488949,3.266054864
clinician,6.830428705,3.748354711,2.75
clinician,6.489636965,3.541193593,3.195207261
clinician,6.87442923,4.948572458,3.840678486
clinician,6.123179482,5.175588261,4.041494412
clinician,7.084067131,3.372627674,4.270724647
clinician,8.714846721,4.171768401,3.02
clinician,9.269618019,4.020376157,4.152415409
clinician,9.661647231,4.869659965,2.229177209
