typing_speed,course
51,Sonic typing
71,Sonic typing
45,Sonic typing
33,Sonic typing
36,Sonic typing
24,Sonic typing
81,Sonic typing
49,Sonic typing
59,Sonic typing
26,Sonic typing
89,Sonic typing
85,Sonic typing
68,Sonic typing
89,Sonic typing
89,Sonic typing
47,Sonic typing
37,Sonic typing
40,Sonic typing
12,Sonic typing
33,Sonic typing
50,Sonic typing
90,Sonic typing
32,Sonic typing
45,Sonic typing
70,Sonic typing
79,Sonic typing
55,Sonic typing
27,Sonic typing
38,Sonic typing
39,Sonic typing
45,Sonic typing
45,Sonic typing
52,Sonic typing
15,Sonic typing
31,Sonic typing
46,Sonic typing
56,Sonic typing
59,Sonic typing
44,Sonic typing
25,Sonic typing
55,Sonic typing
44,Sonic typing
55,Sonic typing
37,Sonic typing
48,Sonic typing
24,Sonic typing
59,Sonic typing
49,Sonic typing
42,Sonic typing
47,Sonic typing
43,TaDa typing
51,TaDa typing
73,TaDa typing
57,TaDa typing
57,TaDa typing
61,TaDa typing
46,TaDa typing
64,TaDa typing
68,TaDa typing
38,TaDa typing
49,TaDa typing
57,TaDa typing
72,TaDa typing
66,TaDa typing
50,TaDa typing
48,TaDa typing
55,TaDa typing
72,TaDa typing
61,TaDa typing
50,TaDa typing
49,TaDa typing
56,TaDa typing
81,TaDa typing
65,TaDa typing
53,TaDa typing
37,TaDa typing
55,TaDa typing
59,TaDa typing
51,TaDa typing
67,TaDa typing
29,TaDa typing
47,TaDa typing
38,TaDa typing
42,TaDa typing
58,TaDa typing
26,TaDa typing
65,TaDa typing
50,TaDa typing
17,TaDa typing
40,TaDa typing
55,TaDa typing
52,TaDa typing
53,TaDa typing
52,TaDa typing
54,TaDa typing
44,TaDa typing
52,TaDa typing
58,TaDa typing
61,TaDa typing
27,TaDa typing
