Gender,Class,Q1,Q2,Q3
Female,4,2,7,4
Male,2,6,7,4
Female,3,2,7,6
Female,2,4,7,7
 ,1,6,5,4
Male,4,3, ,5
Male,2,2,6,4
Male, ,2,5,5
Female,4,5,5,6
Male,1,5,5,5
Male,4,5,6,6
Male,3,5,7,5
Female,1,1,7,4
Female,1,4,5,7
Male,4,1,7,1
Male,4,4,6,6
Female,1,3,7,6
Female,4,1,6,4
Female,3,7,6,6
Male,3,7,7,7
 , , ,6, 
Female,1,4,5,5
Female,1,3,6,7
Male,2,6,5,6
Female,3,5,6,5
Female,3,7,5,7
Female,2,3,5,4
Female,4,1,6,6
Female,1,7,7,4
Male,2,4,6,5
Female, ,7,6,7
Female,4,4,6,7
Female,2,5,7,7
Female,2,1,7,6
Female,1,5,6,4
Female,4,2,7,7
Female,1,2,5,7
Male,1, ,7,6
Female,2,4,6,7
Female,4,4,7,7
 ,2,6,5,4
Male,3,5,6,7
Male,1,5,5,6
Male,2,7,6,5
Female,4,6,5,5
Male,22,5,6,4
Male,4,6,5,4
Male,1,2,7,5
Female,3,6,6,4
Female,4,2,7,5
Female,1,4,7,4
Male,3,5,6,7
Male,3,1,1,1
Female,2,3,5,5
FemaleMale, ,4,7,5
Female,1,7,7,5
Female,4,2,6,7
Male,1,5,5,6
Female,1,7,6,5
Male,2,6,5, 
Male,2,2,7,5
Female,4,6,6,5
Male,4,4,5,4
Female,4,4,6,6
Female,4,1,6,5
Male,3,6,7,6
Female,3,4,5,4
Male,3,6,5,5
Male,2,1,5,6
 ,1.3,6,5,4
Female,3,4,6,7
Female,1,5,7,4
Female,2,2,6,5
Female,3,5,5,5
Male,4,3,6,6
Male,1,4,7,4
Female,3,3,6,4
Male,2,4,6,7
Male,3,6,6,7
Female,3, , ,6
Male,3,4,7,7
Female,3,5,6,7
Female,2,6,6,6
Female,1,5,6,6
Male,2,3,5,5
Female,1,5,6,4
3,4,1,5,7
Male,4,5,7,7
Male,3,1,6,4
Female,1,7,6,5
Male,2,7,5,5
Male,3,2,7,7
Female,4,6,7,4
Female,3,2,6,6
Female,3,5,6,6
 , , , ,4
Female, , , , 
Male,3,6,5,5
Female,1,1,1,1
Male,3,5,7,4
Male,4,5,6,4
Male,3,7,6,6
Female,2,7,7,4
Female,1,3,6,5
Male,4,5,5,7
Male,3,4,5,5
Male,1,4,5,6
Female,3,6,7,6
Male, ,2,7,7
Male,4,5,6,4
Male,4,5,5,7
Female,3,7,7,6
Female,4,4,7,6
Female,3,4,6,6
Female,2,1,6,5
Male,4,6,7,5
Male,2,6,6,4
Male,4,0.5,7, 
MaleFemale,2,1,7,4
Male,2,6,5,5
Female,3,4,5,7
Female,3,7,7,4
Male,2,1,6,7
Female,4,1,5,7
Male,3,1,7,6
Male,2,1,5,7
Female,2,5,6,5
Female,44,4,5,6
Female,2,2,5,4
Female,1,1,6,4
Female,1,1,7,6
Female,1,6,7,7
Male,1,4,7,7
Female,3,1,7,5
Male,1,4,7,4
Male,2,7,6,6
Male,2,5,7,4
Male,2,1,5,6
Male, ,5,6,4
Female,2,4,7,5
Female,3,2,7,6
Male,3,1,5,6
Male,3,3,6,6
0,1,7,6,4
Female,4,3,7,5
Male,2,6,6,6
Female,1,7,7,4
Male,2,5,5,5
Male,3,7,7,6
Male,1,5,7,5
Male,1,4,6,5
Male,2,5,5,7
Female,2,4, ,6
Female,3,2,6,4
Male,4,3,7,7
Female,2,6,6,5
Male,1,6,6,7
Female,4,1,7,5
 , , , ,4
 ,1,4,5,6
 ,4,4,5,4
Female,3,5,7,6
Male,1,5,7,6
Female,4,6,7,5
Female,2,6,5,7
Male,2,6,5,5
Female,1,5,6,7
Male,1,4,7,5
Male,4,7,7,6
Male,1,1,6,5
FemaleMale, ,3,7.5,5
Female,2,6,5,4
Male,4,6,7,4
Male,2,6,5,5
Male,1,3,5,7
Female,3,3,6,6
Female,4,1,5,5
Male,2,7,7,5
Male,3,2,5,7
Male,2,3,7,5
Female,3,6,7,4
Male,1.4,4,7,7
Female,3,3,7,4
Male,2,5,5,6
Male,4,1,5,6
Male,2,3,5,6
 ,4,7,6,5
Male,3,5,6,6
Female,1,4,6,4
Male,2,4,6,4
Male,3,6,7,7
Female,1,1,6,6
Female,4,6,6,5
Male,2,5,5,5
Female,4,4,6,7
Female,3,5,6,7
Male,3,4,7,6
Female,1,2,5,4
Male,1,7,6,5
MaleFemale,3,2,7,5
Female,2,7,5,4
Male,3,2,5,5
Female,4,4,7,7
Female, ,5,7,6
Male,2,5,7,6
Female,1,3,6,7
Female,2,5,5,7
Male,4,7,5,6
Male,2,3,5,4
Female,3,4,5,4
Male,3,5,5,5
Female,24,1,6,4
Male,4,6,5,7
Female,3,3,5,5
Female,2,3,5,7
Male,2,7,7,7
Female,4,2,7,6
Male,4,2,5,5
Male,1,6,5,6
Male,1,4,7,7
 ,2,7,7,7
Female,3,6,5,6
Male,4,7,5,6
