attdrug,phyheal,emplmnt,religion
8,5,UNEMPLOYED,PROTESTANT
7,4,EMPLOYED,PROTESTANT
7,5,UNEMPLOYED,PROTESTANT
8,6,UNEMPLOYED,PROTESTANT
6,7,EMPLOYED,PROTESTANT
8,3,EMPLOYED,PROTESTANT
9,9,UNEMPLOYED,PROTESTANT
6,3,EMPLOYED,PROTESTANT
9,7,EMPLOYED,PROTESTANT
6,8,EMPLOYED,PROTESTANT
9,6,EMPLOYED,PROTESTANT
9,9,UNEMPLOYED,PROTESTANT
8,3,EMPLOYED,PROTESTANT
8,2,EMPLOYED,PROTESTANT
9,5,EMPLOYED,PROTESTANT
7,7,UNEMPLOYED,PROTESTANT
7,2,UNEMPLOYED,PROTESTANT
9,8,EMPLOYED,PROTESTANT
6,7,EMPLOYED,PROTESTANT
9,2,EMPLOYED,PROTESTANT
6,2,UNEMPLOYED,PROTESTANT
10,6,EMPLOYED,PROTESTANT
8,9,EMPLOYED,PROTESTANT
6,12,EMPLOYED,PROTESTANT
7,2,EMPLOYED,PROTESTANT
8,3,EMPLOYED,PROTESTANT
8,12,UNEMPLOYED,PROTESTANT
7,3,EMPLOYED,PROTESTANT
8,2,EMPLOYED,PROTESTANT
9,4,EMPLOYED,PROTESTANT
9,7,EMPLOYED,PROTESTANT
7,4,EMPLOYED,PROTESTANT
7,3,UNEMPLOYED,PROTESTANT
8,3,EMPLOYED,PROTESTANT
8,2,UNEMPLOYED,PROTESTANT
7,10,UNEMPLOYED,PROTESTANT
9,3,UNEMPLOYED,PROTESTANT
6,8,UNEMPLOYED,PROTESTANT
5,3,EMPLOYED,PROTESTANT
6,6,UNEMPLOYED,PROTESTANT
6,5,EMPLOYED,PROTESTANT
7,5,EMPLOYED,PROTESTANT
5,11,EMPLOYED,PROTESTANT
7,11,UNEMPLOYED,PROTESTANT
7,7,EMPLOYED,PROTESTANT
5,6,UNEMPLOYED,PROTESTANT
7,5,EMPLOYED,PROTESTANT
8,8,UNEMPLOYED,PROTESTANT
8,2,UNEMPLOYED,PROTESTANT
6,2,UNEMPLOYED,PROTESTANT
6,3,EMPLOYED,PROTESTANT
8,7,EMPLOYED,PROTESTANT
7,6,EMPLOYED,PROTESTANT
6,4,EMPLOYED,PROTESTANT
8,3,EMPLOYED,PROTESTANT
7,8,EMPLOYED,PROTESTANT
