attdrug,phyheal,emplmnt,religion
9,2,UNEMPLOYED,NONE OR OTHER
8,3,EMPLOYED,NONE OR OTHER
6,3,UNEMPLOYED,NONE OR OTHER
5,3,UNEMPLOYED,NONE OR OTHER
8,4,UNEMPLOYED,NONE OR OTHER
9,7,EMPLOYED,NONE OR OTHER
8,6,UNEMPLOYED,NONE OR OTHER
7,8,EMPLOYED,NONE OR OTHER
6,2,EMPLOYED,NONE OR OTHER
8,8,EMPLOYED,NONE OR OTHER
8,4,EMPLOYED,NONE OR OTHER
6,8,EMPLOYED,NONE OR OTHER
8,5,EMPLOYED,NONE OR OTHER
5,6,UNEMPLOYED,NONE OR OTHER
10,10,UNEMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
8,8,EMPLOYED,NONE OR OTHER
9,3,EMPLOYED,NONE OR OTHER
7,3,UNEMPLOYED,NONE OR OTHER
6,2,EMPLOYED,NONE OR OTHER
8,6,EMPLOYED,NONE OR OTHER
10,6,EMPLOYED,NONE OR OTHER
7,6,EMPLOYED,NONE OR OTHER
8,5,UNEMPLOYED,NONE OR OTHER
8,3,EMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
5,6,EMPLOYED,NONE OR OTHER
8,3,UNEMPLOYED,NONE OR OTHER
8,3,UNEMPLOYED,NONE OR OTHER
8,3,UNEMPLOYED,NONE OR OTHER
6,6,EMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
8,5,UNEMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
5,7,UNEMPLOYED,NONE OR OTHER
9,6,EMPLOYED,NONE OR OTHER
7,5,EMPLOYED,NONE OR OTHER
7,6,EMPLOYED,NONE OR OTHER
9,8,EMPLOYED,NONE OR OTHER
7,6,UNEMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
5,2,UNEMPLOYED,NONE OR OTHER
7,7,EMPLOYED,NONE OR OTHER
6,5,EMPLOYED,NONE OR OTHER
5,4,EMPLOYED,NONE OR OTHER
9,4,EMPLOYED,NONE OR OTHER
8,3,UNEMPLOYED,NONE OR OTHER
9,3,EMPLOYED,NONE OR OTHER
8,3,EMPLOYED,NONE OR OTHER
8,3,EMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
6,4,EMPLOYED,NONE OR OTHER
7,8,EMPLOYED,NONE OR OTHER
7,3,EMPLOYED,NONE OR OTHER
7,6,UNEMPLOYED,NONE OR OTHER
7,3,EMPLOYED,NONE OR OTHER
9,9,EMPLOYED,NONE OR OTHER
7,7,UNEMPLOYED,NONE OR OTHER
8,3,EMPLOYED,NONE OR OTHER
9,4,EMPLOYED,NONE OR OTHER
9,8,EMPLOYED,NONE OR OTHER
9,3,EMPLOYED,NONE OR OTHER
10,5,EMPLOYED,NONE OR OTHER
7,5,EMPLOYED,NONE OR OTHER
8,4,EMPLOYED,NONE OR OTHER
9,4,EMPLOYED,NONE OR OTHER
6,5,UNEMPLOYED,NONE OR OTHER
6,6,UNEMPLOYED,NONE OR OTHER
8,4,EMPLOYED,NONE OR OTHER
8,5,UNEMPLOYED,NONE OR OTHER
8,5,EMPLOYED,NONE OR OTHER
7,6,UNEMPLOYED,NONE OR OTHER
5,6,EMPLOYED,NONE OR OTHER
10,5,EMPLOYED,NONE OR OTHER
6,5,EMPLOYED,NONE OR OTHER
7,4,UNEMPLOYED,NONE OR OTHER
