attdrug,phyheal,emplmnt,religion
7,3,UNEMPLOYED,JEWISH
7,4,UNEMPLOYED,JEWISH
8,3,UNEMPLOYED,JEWISH
5,2,EMPLOYED,JEWISH
9,8,EMPLOYED,JEWISH
7,4,UNEMPLOYED,JEWISH
7,7,EMPLOYED,JEWISH
8,5,EMPLOYED,JEWISH
9,3,UNEMPLOYED,JEWISH
8,2,EMPLOYED,JEWISH
7,4,EMPLOYED,JEWISH
7,6,EMPLOYED,JEWISH
7,5,EMPLOYED,JEWISH
6,6,UNEMPLOYED,JEWISH
8,2,EMPLOYED,JEWISH
9,8,EMPLOYED,JEWISH
9,4,UNEMPLOYED,JEWISH
7,9,UNEMPLOYED,JEWISH
7,5,EMPLOYED,JEWISH
9,3,EMPLOYED,JEWISH
6,7,UNEMPLOYED,JEWISH
8,5,UNEMPLOYED,JEWISH
9,9,EMPLOYED,JEWISH
7,3,EMPLOYED,JEWISH
6,6,EMPLOYED,JEWISH
7,3,UNEMPLOYED,JEWISH
9,12,UNEMPLOYED,JEWISH
9,2,UNEMPLOYED,JEWISH
8,4,EMPLOYED,JEWISH
9,4,UNEMPLOYED,JEWISH
8,6,EMPLOYED,JEWISH
7,8,UNEMPLOYED,JEWISH
10,8,UNEMPLOYED,JEWISH
7,2,EMPLOYED,JEWISH
9,5,UNEMPLOYED,JEWISH
8,3,EMPLOYED,JEWISH
6,4,UNEMPLOYED,JEWISH
10,6,UNEMPLOYED,JEWISH
8,5,EMPLOYED,JEWISH
7,9,UNEMPLOYED,JEWISH
7,7,UNEMPLOYED,JEWISH
9,3,UNEMPLOYED,JEWISH
9,7,UNEMPLOYED,JEWISH
7,6,UNEMPLOYED,JEWISH
7,5,EMPLOYED,JEWISH
8,2,EMPLOYED,JEWISH
8,2,EMPLOYED,JEWISH
6,5,EMPLOYED,JEWISH
9,15,UNEMPLOYED,JEWISH
6,4,UNEMPLOYED,JEWISH
9,7,EMPLOYED,JEWISH
6,6,EMPLOYED,JEWISH
8,4,EMPLOYED,JEWISH
9,5,EMPLOYED,JEWISH
9,8,UNEMPLOYED,JEWISH
6,5,UNEMPLOYED,JEWISH
9,7,UNEMPLOYED,JEWISH
9,9,UNEMPLOYED,JEWISH
8,3,EMPLOYED,JEWISH
8,3,EMPLOYED,JEWISH
8,3,UNEMPLOYED,JEWISH
8,4,EMPLOYED,JEWISH
7,3,UNEMPLOYED,JEWISH
8,4,EMPLOYED,JEWISH
5,5,EMPLOYED,JEWISH
9,5,UNEMPLOYED,JEWISH
6,4,EMPLOYED,JEWISH
9,6,EMPLOYED,JEWISH
7,2,UNEMPLOYED,JEWISH
7,2,UNEMPLOYED,JEWISH
9,2,EMPLOYED,JEWISH
6,3,UNEMPLOYED,JEWISH
8,5,EMPLOYED,JEWISH
7,4,EMPLOYED,JEWISH
9,7,EMPLOYED,JEWISH
7,4,EMPLOYED,JEWISH
7,6,EMPLOYED,JEWISH
8,2,UNEMPLOYED,JEWISH
7,2,UNEMPLOYED,JEWISH
7,9,UNEMPLOYED,JEWISH
9,5,UNEMPLOYED,JEWISH
8,8,UNEMPLOYED,JEWISH
8,4,UNEMPLOYED,JEWISH
9,3,UNEMPLOYED,JEWISH
9,3,UNEMPLOYED,JEWISH
9,6,UNEMPLOYED,JEWISH
6,5,EMPLOYED,JEWISH
9,6,EMPLOYED,JEWISH
7,2,EMPLOYED,JEWISH
6,4,UNEMPLOYED,JEWISH
6,4,UNEMPLOYED,JEWISH
8,5,UNEMPLOYED,JEWISH
