attdrug,phyheal,emplmnt,religion
8,3,EMPLOYED,CATHOLIC
8,5,EMPLOYED,CATHOLIC
7,5,UNEMPLOYED,CATHOLIC
9,6,UNEMPLOYED,CATHOLIC
6,3,UNEMPLOYED,CATHOLIC
8,3,EMPLOYED,CATHOLIC
10,7,EMPLOYED,CATHOLIC
6,4,EMPLOYED,CATHOLIC
8,5,UNEMPLOYED,CATHOLIC
7,8,EMPLOYED,CATHOLIC
8,6,UNEMPLOYED,CATHOLIC
8,2,EMPLOYED,CATHOLIC
8,2,EMPLOYED,CATHOLIC
9,2,EMPLOYED,CATHOLIC
9,10,UNEMPLOYED,CATHOLIC
7,5,EMPLOYED,CATHOLIC
7,3,EMPLOYED,CATHOLIC
8,5,EMPLOYED,CATHOLIC
10,4,EMPLOYED,CATHOLIC
8,4,EMPLOYED,CATHOLIC
7,4,EMPLOYED,CATHOLIC
8,5,UNEMPLOYED,CATHOLIC
9,4,UNEMPLOYED,CATHOLIC
8,3,UNEMPLOYED,CATHOLIC
7,8,EMPLOYED,CATHOLIC
10,4,UNEMPLOYED,CATHOLIC
8,5,UNEMPLOYED,CATHOLIC
6,4,EMPLOYED,CATHOLIC
8,8,UNEMPLOYED,CATHOLIC
8,5,UNEMPLOYED,CATHOLIC
9,7,EMPLOYED,CATHOLIC
8,6,UNEMPLOYED,CATHOLIC
9,5,EMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
10,8,UNEMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
9,2,EMPLOYED,CATHOLIC
10,9,UNEMPLOYED,CATHOLIC
7,11,EMPLOYED,CATHOLIC
8,4,EMPLOYED,CATHOLIC
9,5,UNEMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
10,7,UNEMPLOYED,CATHOLIC
8,4,UNEMPLOYED,CATHOLIC
8,10,EMPLOYED,CATHOLIC
10,6,UNEMPLOYED,CATHOLIC
9,6,UNEMPLOYED,CATHOLIC
6,3,UNEMPLOYED,CATHOLIC
8,3,UNEMPLOYED,CATHOLIC
8,4,UNEMPLOYED,CATHOLIC
9,6,EMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
9,6,UNEMPLOYED,CATHOLIC
7,5,UNEMPLOYED,CATHOLIC
9,4,UNEMPLOYED,CATHOLIC
9,8,EMPLOYED,CATHOLIC
8,4,UNEMPLOYED,CATHOLIC
6,5,EMPLOYED,CATHOLIC
7,6,EMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
8,5,EMPLOYED,CATHOLIC
7,4,EMPLOYED,CATHOLIC
8,2,UNEMPLOYED,CATHOLIC
6,6,EMPLOYED,CATHOLIC
7,7,UNEMPLOYED,CATHOLIC
7,4,UNEMPLOYED,CATHOLIC
9,6,EMPLOYED,CATHOLIC
8,2,EMPLOYED,CATHOLIC
9,4,EMPLOYED,CATHOLIC
8,3,EMPLOYED,CATHOLIC
9,6,EMPLOYED,CATHOLIC
7,6,EMPLOYED,CATHOLIC
7,6,EMPLOYED,CATHOLIC
6,3,UNEMPLOYED,CATHOLIC
8,5,UNEMPLOYED,CATHOLIC
8,7,EMPLOYED,CATHOLIC
8,11,UNEMPLOYED,CATHOLIC
8,4,EMPLOYED,CATHOLIC
7,5,EMPLOYED,CATHOLIC
8,3,EMPLOYED,CATHOLIC
7,3,EMPLOYED,CATHOLIC
7,2,UNEMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
6,3,EMPLOYED,CATHOLIC
6,6,UNEMPLOYED,CATHOLIC
10,4,UNEMPLOYED,CATHOLIC
7,10,EMPLOYED,CATHOLIC
9,4,UNEMPLOYED,CATHOLIC
7,14,EMPLOYED,CATHOLIC
8,4,EMPLOYED,CATHOLIC
8,3,EMPLOYED,CATHOLIC
7,6,UNEMPLOYED,CATHOLIC
9,2,UNEMPLOYED,CATHOLIC
8,4,UNEMPLOYED,CATHOLIC
8,4,EMPLOYED,CATHOLIC
7,2,EMPLOYED,CATHOLIC
7,3,EMPLOYED,CATHOLIC
7,3,EMPLOYED,CATHOLIC
8,2,UNEMPLOYED,CATHOLIC
8,9,UNEMPLOYED,CATHOLIC
7,4,EMPLOYED,CATHOLIC
8,3,UNEMPLOYED,CATHOLIC
8,3,UNEMPLOYED,CATHOLIC
7,2,UNEMPLOYED,CATHOLIC
6,7,UNEMPLOYED,CATHOLIC
8,5,EMPLOYED,CATHOLIC
8,10,UNEMPLOYED,CATHOLIC
9,5,UNEMPLOYED,CATHOLIC
9,5,EMPLOYED,CATHOLIC
8,3,UNEMPLOYED,CATHOLIC
7,5,UNEMPLOYED,CATHOLIC
8,3,UNEMPLOYED,CATHOLIC
8,2,UNEMPLOYED,CATHOLIC
8,4,UNEMPLOYED,CATHOLIC
9,2,EMPLOYED,CATHOLIC
6,3,EMPLOYED,CATHOLIC
6,6,UNEMPLOYED,CATHOLIC
8,7,EMPLOYED,CATHOLIC
8,4,UNEMPLOYED,CATHOLIC
