"spelling","lexicality","rt","subtlex.frequency","length","POS","bigram.freq"
"aaide","W",642.9189189,11,5,"WW",211373
"aaien","W",613.7777778,92,5,"WW",317860
"aak","W",560.6666667,5,3,"N",75056
"aal","W",669.4814815,35,3,"N",83336
"aalmoes","W",636.4705882,42,7,"N",166581
"aam","W",NA,1,3,"ADJ",71881
"aambeeld","W",690.8235294,22,8,"N",218551
"aanblik","W",613.9230769,96,7,"N",141520
"aanbod","W",568.1794872,1174,6,"N",139596
"aanbouw","W",651.6111111,32,7,"N",119589
"aandacht","W",579.1794872,2479,8,"N",246466
"aandeel","W",597.1794872,435,7,"N",310223
"aandoen","W",605.0769231,1520,7,"WW",396473
"aandrang","W",654.2571429,29,8,"N",252369
"aangaan","W",621.1621622,254,7,"WW",276061
"aanhang","W",617.6315789,34,7,"N",185062
"aanhef","W",669.4545455,3,6,"N",123513
"aanklacht","W",614.3076923,969,9,"N",228116
"aankomst","W",570.9736842,324,8,"N",214728
"aankoop","W",558.4102564,113,7,"N",154889
"aanleg","W",552.6052632,126,6,"N",154494
"aanloop","W",587.6842105,45,7,"N",155881
"aanmaak","W",648.2972973,8,7,"N",160002
"aanpak","W",606.8421053,361,6,"N",119885
"aanplant","W",695.5555556,4,8,"N",211630
"aanrecht","W",622,72,8,"N",235327
"aanschaf","W",757.4848485,16,8,"N",201341
"aanschijn","W",710.3636364,17,9,"N",282787
"aanschijns","W",855.7,3,10,"N",254103
"aanslaan","W",671.3243243,54,8,"WW",286081
"aanslag","W",548.1538462,746,7,"N",160435
"aanspraak","W",611.7631579,78,9,"N",208244
"aanstonds","W",708.2941176,15,9,"ADJ",298139
"aanstoot","W",691.2352941,39,8,"N",247830
"aantal","W",518.7692308,2249,6,"N",151552
"aanvaard","W",599.1578947,520,8,"WW",214686
"aanvaardt","W",693.8888889,117,9,"WW",221293
"aanval","W",535.5897436,2081,6,"N",127483
"aanvang","W",576.9189189,27,7,"N",180342
"aanvoer","W",580.5135135,19,7,"N",277523
"aanvraag","W",564.2702703,221,8,"N",183576
"aanwas","W",662.1428571,2,6,"N",147179
"aanwinst","W",616.2820513,130,8,"N",250037
"aanzet","W",593.4285714,82,6,"N",158532
"aanzien","W",534.4864865,344,7,"N",357059
"aap","W",539.5789474,1249,3,"N",69721
"aapje","W",572.9473684,190,5,"N",143985
"aapjes","W",594.8108108,40,6,"N",136280
"aard","W",588.025641,670,4,"N",133607
"aardbei","W",601.0526316,68,7,"N",143523
"aardbol","W",597.2051282,51,7,"N",135681
"aarde","W",559.7894737,4376,5,"N",243731
"aarden","W",699.9393939,12,6,"WW",398039
"aardgas","W",619.4594595,9,7,"N",154489
"aardig","W",529.5128205,8394,6,"ADJ",153580
"aardje","W",613.65625,3,6,"N",183626
"aardkorst","W",707.3611111,18,9,"N",249939
"aards","W",627.9411765,50,5,"ADJ",145080
"aardse","W",644.8823529,197,6,"ADJ",196996
"aars","W",666.6363636,36,4,"N",135804
"aarzel","W",607.3846154,106,6,"WW",156790
"aarzelt","W",616.1351351,52,7,"WW",187613
"aarzen","W",594.75,1,6,"N",317767
"aas","W",585.5675676,396,3,"N",101122
"abces","W",697.6086957,11,5,"N",88078
"abdij","W",649.9189189,101,5,"N",67103
"abrupt","W",658.4117647,28,6,"ADJ",79603
"absent","W",738.5217391,12,6,"N",240953
"abstract","W",623.4102564,66,8,"ADJ",169121
"absurd","W",622.6388889,431,6,"ADJ",88769
"abt","W",607.7692308,51,3,"N",58872
"abten","W",774.3684211,2,5,"WW",316673
"accent","W",564.5641026,509,6,"N",234827
"accu","W",607.9142857,173,4,"N",34117
"accu's","W",642.2368421,33,6,"N",68426
"achting","W",670.7222222,47,7,"N",198657
"achtte","W",642.1842105,43,6,"WW",231549
"achtten","W",614.173913,12,7,"WW",385857
"acne","W",688.6111111,21,4,"N",118372
"act","W",614.0540541,332,3,"N",70099
"acteur","W",558.1282051,918,6,"N",150030
"acteurs","W",589.974359,574,7,"N",179204
"actie","W",540.1842105,1741,5,"N",165132
"actief","W",564.5,425,6,"ADJ",109251
"acties","W",570.1282051,284,6,"N",157427
"acts","W",641.2647059,21,4,"N",79400
"acuut","W",640.4571429,25,5,"ADJ",76090
"adder","W",618.1621622,33,5,"N",250709
"adders","W",656.8,10,6,"N",279883
"adel","W",580.7297297,187,4,"N",161099
"adem","W",555.2307692,2324,4,"N",115412
"ademt","W",630.7222222,480,5,"WW",146629
"ader","W",590.2972973,143,4,"N",247051
"aders","W",592.3888889,78,5,"N",276225
"adieu","W",758.5,74,5,"N",86239
"adres","W",570.0789474,2509,5,"N",141731
"advies","W",581.6923077,1453,6,"N",129649
"afbraak","W",592.4473684,19,7,"N",120272
"afbreuk","W",577.4210526,12,7,"N",107505
"afdak","W",614.5833333,2,5,"N",59911
"afdoen","W",650.5405405,129,6,"WW",291915
"afdronk","W",697.9285714,6,7,"N",113314
"afdruk","W",558.7631579,258,6,"N",65206
"afgaan","W",592,372,6,"WW",191020
"afgang","W",584.4615385,63,6,"N",120501
"afgrond","W",592.3243243,211,7,"N",175120
"afgunst","W",612.974359,68,7,"N",148010
"afkeer","W",594.4864865,122,6,"N",245125
"afkomst","W",561.1944444,282,7,"N",149804
"afkoop","W",676.2307692,4,6,"N",89965
"afloop","W",591.8918919,341,6,"N",98672
"afscheid","W",586.1025641,1550,8,"N",172789
"afschrift","W",653.3030303,26,9,"N",170721
"afschuw","W",579.7027027,71,7,"N",110603
"afslag","W",562.972973,245,6,"N",90085
"afspraak","W",543.5526316,4264,8,"N",137894
"afstaan","W",591,106,7,"WW",256662
"afstand","W",512.3947368,1748,7,"N",220942
"aftocht","W",633.4705882,69,7,"N",143498
"afval","W",563.6666667,544,5,"N",67327
"afvoer","W",592.5128205,105,6,"N",217367
"afwas","W",588.7179487,167,5,"N",88166
"afweer","W",578.4615385,35,6,"N",232241
"afzet","W",570.9473684,53,5,"N",99414
"afzien","W",546.8974359,101,6,"WW",297941
"agaat","W",805.6666667,1,5,"N",124509
"agent","W",559.027027,8159,5,"N",286958
"ah","W",659.5789474,1350,2,"N",22034
"ai","W",745.125,58,2,"N",24938
"airs","W",712.6666667,6,4,"N",80188
"airtje","W",918,1,6,"N",125052
"aïs","W",514.5,2,3,"N",53595
"ajuin","W",634.2777778,6,5,"N",163131
"akker","W",595.6486486,30,5,"N",211798
"akkers","W",594,40,6,"N",240972
"akkoord","W",586.4166667,1534,7,"ADJ",149639
"akte","W",608.6,183,4,"N",176538
"akten","W",672.9354839,13,5,"N",330846
"aktes","W",623.9444444,23,5,"N",168833
