politics,right_wrong,harm,fairness,ingroup,authority,purity
1,4,3.71,9.72,6.48,2.31,1.98
1,2,4.28,6.38,2.85,2.14,2.91
1,4,2.91,8.73,1.52,2.25,2.63
1,5,5.58,2.02,1.54,1.69,2.17
1,3,5.24,1.66,2.01,2.36,1.73
1,4,1.74,2.16,5.28,2.56,1.65
1,3,2.75,9.73,2.41,2.4,2.41
1,2,1.87,3.53,1.26,1.28,1.61
1,3,3.24,6.35,2.35,1.57,1.3
1,2,1.59,8.77,2.29,2.32,2.11
1,3,1.72,8.33,1.96,2.02,1.53
1,3,4.54,7.57,2.99,1.14,1.28
1,3,2.05,3.29,2.48,1.84,1.95
1,2,2.42,2.25,2.5,1.91,2.43
1,2,2.6,9.72,2.21,1.82,2.06
1,4,3.23,5.66,1.14,2.1,2.52
1,5,1.21,3.07,2.6,1.09,1.94
1,5,3.13,2.34,4.52,2.63,3.29
1,2,1.95,6.37,2.04,2.36,4.33
1,4,3.76,5.33,1.2,2.48,2.98
1,3,1.68,7.66,3.18,1.04,1.32
1,3,1.48,6.41,2.48,1.44,3.09
1,4,3.6,2.45,2.58,2.02,2
1,3,2.68,3.06,2.54,2.49,1.67
1,3,2.42,4.71,2.65,2.25,1.63
1,4,2.66,7.68,5,2,2.02
1,6,2.67,8.46,4.74,2.56,2.52
1,5,2.21,6.6,9.96,1.94,4.44
1,5,2.94,1.99,4.58,2.03,2.84
1,3,4.59,2.09,5.47,2.69,1.87
2,7,2.18,2.89,1.13,1.86,5.79
2,5,1.54,1.57,9.41,1.87,1.5
2,4,2.7,4.87,7.06,1.68,2.6
2,5,2.57,3.95,7.01,2.66,1.54
2,7,2.82,3.4,8.11,2.55,2.21
2,5,1.38,6.14,3.86,1.06,5.56
2,8,3,7.1,7.25,2.64,1.25
2,7,1.59,5.94,2.41,1.2,4.93
2,6,3.53,2.02,4.82,1.07,2.15
2,5,2.74,4.62,4.77,2.35,1.1
2,3,2.3,1.09,3.46,1.69,6.34
2,7,3.53,2.24,1.16,2.06,3.2
2,4,3.22,4.08,8.43,2.18,6.07
2,5,2.28,7.48,5.5,2.81,3.73
2,8,2.87,1.37,2.28,1.16,5.82
2,7,2.08,3.06,2.54,2.17,7.11
2,8,1.08,5.41,7.6,2.79,7.16
2,8,2.19,4.57,9.52,2.19,2.59
2,5,2.78,5.67,8.21,2.62,4.31
2,8,2.16,3.99,8.89,2.55,6.3
2,7,2.18,2.05,7.82,2.36,6.81
2,8,2.14,2.72,6.73,2.06,5.28
2,7,1.11,1.7,1.69,2.58,4.27
2,8,2.44,1.45,8.7,1.78,6.73
2,8,1.6,1.16,1.04,2.06,1.71
2,5,2.38,3.1,1.95,2.71,4.95
2,7,2.09,2.82,9.67,2.06,3.4
2,5,2.19,2.91,8.08,1.1,3.42
2,8,1.05,3.49,7.36,2.41,1.5
2,6,1.92,2.89,1.19,1.02,4.09
2,10,2.85,2.05,8.15,2.02,9.13
2,7,2.87,2.05,9.98,2.56,2.52
2,10,1.12,2.56,3.47,2.81,8.03
2,10,1.56,2.68,9.27,1.24,2.22
2,8,2.76,2.48,8.63,1.78,3.59
2,8,2.2,1.99,2.88,2.34,1.39
2,11,1,2.46,7.56,1.69,5.03
2,8,2.62,2.53,6.01,2.67,7.89
2,10,1.4,1.9,1.69,2.08,5.33
2,9,2.82,1.88,8.54,2.38,8.68
2,10,2.82,2.1,6.36,2.47,3.44
2,10,2.79,1.86,4.46,1.15,7.25
2,10,1.43,1.57,2.35,2.49,7.78
2,8,1.49,1.8,4.52,2.65,2.15
2,10,1.1,2.15,9.99,1.36,1.4
