Gender_S1,Chocolate_S1,Vanilla_S1,Gender_S2,Chocolate_S2,Vanilla_S2
1,4,3,2,6,5
1,5,1,2,6,4
2,3,3,1,4,4
2,4,2,1,7,4
2,5,2,2,5,4
2,4,3,1,5,3
1,5,2,2,7,3
2,3,1,2,6,3
1,5,2,1,6,6
1,4,4,2,5,4
1,4,4,1,3,4
2,4,3,2,6,5
2,4,1,1,7,4
1,3,3,2,5,4
2,5,1,2,4,5
2,4,3,2,6,3
1,4,5,1,6,4
2,3,4,1,5,3
2,4,4,1,6,3
1,4,4,1,4,6
2,3,4,1,6,3
2,5,5,1,7,3
1,5,2,2,5,4
2,5,4,2,5,6
1,4,4,1,7,3
1,5,2,2,6,4
2,4,5,2,5,2
2,4,4,1,6,4
1,5,2,2,6,3
1,5,4,2,5,4
2,4,4,1,4,5
2,4,3,1,7,4
1,4,2,1,4,3
1,5,1,1,5,3
2,4,2,1,5,5
1,3,4,1,6,5
2,4,2,1,7,4
2,4,4,1,7,3
2,3,4,2,7,6
2,5,4,1,5,6
