time_tv,cholesterol
168,4.59504105646163
170,4.79742751676589
170,5.39
164,5.15903995517641
159,5.0924025945738
168,5.7
165,5.24940842699259
156,4.88863752286881
172,4.89745428567752
170,4.68432126099244
165,4.76632825776935
168,4.64943314054981
171,5.61
168,4.81104536578059
166,5.64
167,6.16
163,5.35
161,4.64756599882618
168,5.79
170,4.79590457653627
171,5.04567176090553
165,5.66
162,4.62614948345348
175,5.01
169,5.56
170,6.41
176,5.03
179,5.35
173,5.09039476480335
176,5.99
170,4.71566463539377
172,4.69711654642597
175,5.01
172,5.25124303100631
173,5.83
177,6.06
170,6.1
171,5.27
173,5.54
170,5.84
163,5.01218205031008
173,6.04
169,4.68641337443143
170,5.43
171,5.71
174,6.41
178,5.26
174,5.61
176,6.11
176,5.25054780576378
171,5.53
176,6.55
176,5.25
172,5.55
173,5.5
176,5.23
172,5.12
171,6.27
173,5.31
176,5.09877848671749
171,5.12
182,5.91
180,5.91
183,6.33
170,4.98707167325541
176,5.10493154037744
182,5.56
174,5.27
178,5.6
176,4.8666471243836
169,5.73
172,4.57706044273451
176,5.22275535369292
175,5.13
170,5.68
177,6.21
180,6.21
176,5.99
171,4.57324386015534
183,5.66
177,5.23
169,5.82
167,6.14
171,4.79836536061019
170,5.23
174,5.91
170,6.21
170,4.64554954010993
173,5.56
173,5.15620807668194
180,6.02
177,5.65
168,5.3031116216816
179,6
163,5.48
179,6.43
168,4.36362194161862
170,5.17
171,5.52
171,6.1
