athlete_type,age_group,task_orientation
Special Olympics,<15,1.592663239
Special Olympics,<15,2.38228166
Special Olympics,<15,2.222298924
Special Olympics,<15,1.625340154
Special Olympics,<15,1.738464646
Special Olympics,<15,1.552702347
Special Olympics,<15,2.064970903
Special Olympics,<15,2.477728726
Special Olympics,15-17,2.356774363
Special Olympics,15-17,1.751679016
Special Olympics,15-17,2.667337852
Special Olympics,15-17,2.343144514
Special Olympics,15-17,2.056744433
Special Olympics,15-17,2.917143719
Special Olympics,15-17,3.010854672
Special Olympics,15-17,2.857058474
Special Olympics,18-20,3.629884148
Special Olympics,18-20,4.403351311
Special Olympics,18-20,3.116542111
Special Olympics,18-20,4.237985706
Special Olympics,18-20,3.590857589
Special Olympics,18-20,4.052636813
Special Olympics,18-20,4.01158188
Special Olympics,18-20,4.225442804
Special Olympics,>20,4.120274864
Special Olympics,>20,5.085733974
Special Olympics,>20,4.894956205
Special Olympics,>20,5.779904809
Special Olympics,>20,4.712104551
Special Olympics,>20,4.088617276
Special Olympics,>20,5.256111702
Special Olympics,>20,5.253799984
Typically Developed,<15,4.304240385
Typically Developed,<15,3.402016294
Typically Developed,<15,4.121563474
Typically Developed,<15,3.225799496
Typically Developed,<15,4.065412785
Typically Developed,<15,4.439484887
Typically Developed,<15,4.051599118
Typically Developed,<15,3.387481645
Typically Developed,15-17,4.846544207
Typically Developed,15-17,2.618385746
Typically Developed,15-17,3.397912807
Typically Developed,15-17,3.627224365
Typically Developed,15-17,4.10531349
Typically Developed,15-17,2.218501636
Typically Developed,15-17,5.391040798
Typically Developed,15-17,3.737100852
Typically Developed,18-20,4.537660964
Typically Developed,18-20,4.194895684
Typically Developed,18-20,5.59840109
Typically Developed,18-20,4.489040101
Typically Developed,18-20,4.361585724
Typically Developed,18-20,5.496583398
Typically Developed,18-20,6.471736515
Typically Developed,18-20,4.934937829
Typically Developed,>20,4.125875063
Typically Developed,>20,3.858466589
Typically Developed,>20,4.680610997
Typically Developed,>20,4.153956042
Typically Developed,>20,5.13005579
Typically Developed,>20,5.141951125
Typically Developed,>20,4.311082363
Typically Developed,>20,5.627768926
