cue,pos_cue,pos_feature,pos_translated,a1,a2
abandon,verb,noun,noun,none,none
abandon,verb,verb,verb,none,none
abandon,verb,verb,verb,present_participle,none
abandon,verb,adjective,verb,past_tense,none
abandon,verb,other,other,none,none
abdomen,noun,noun,noun,none,none
abdomen,noun,adjective,adjective,none,none
abdomen,noun,noun,noun,numbers,none
abdomen,noun,noun,noun,characteristic,none
abduct,verb,other,other,none,none
abduct,verb,verb,verb,none,none
abduct,verb,noun,verb,present_participle,none
abduct,verb,verb,verb,past_tense,none
abduct,verb,noun,noun,none,none
ability,noun,noun,adjective,characteristic,numbers
ability,noun,adjective,adjective,none,none
ability,noun,noun,adjective,person_object,none
ability,noun,noun,noun,none,none
ability,noun,verb,adjective,actions_process,past_tense
ability,noun,noun,noun,characteristic,characteristic
ability,noun,noun,noun,numbers,none
ability,noun,noun,noun,magnitude,none
ability,noun,adjective,noun,characteristic,none
able,adjective,noun,noun,actions_process,none
able,adjective,adjective,noun,characteristic,none
able,adjective,noun,noun,characteristic,characteristic
able,adjective,noun,noun,numbers,none
able,adjective,adjective,adjective,none,none
able,adjective,other,other,none,none
able,adjective,verb,verb,none,none
able,adjective,verb,verb,present_participle,none
able,adjective,noun,verb,person_object,none
able,adjective,verb,verb,past_tense,none
able,adjective,adjective,noun,present_participle,none
able,adjective,noun,noun,present_participle,characteristic
abnormal,adjective,adjective,verb,characteristic,none
abnormal,adjective,adjective,adjective,none,none
abnormal,adjective,noun,adjective,characteristic,none
above,other,adjective,adjective,characteristic,none
above,other,other,other,none,none
above,other,adjective,adjective,none,none
above,other,adjective,adjective,magnitude,none
above,other,noun,noun,none,none
abstract,adjective,noun,noun,none,none
abstract,adjective,adjective,adjective,none,none
abstract,adjective,adjective,verb,characteristic,none
abstract,adjective,adjective,noun,characteristic,none
abstract,adjective,noun,noun,numbers,none
abstract,adjective,noun,adjective,characteristic,none
abstract,adjective,adjective,adjective,not,none
absurd,adjective,verb,noun,past_tense,none
