ticknumb,gender,day1,day2,day3
2111,Male,2.64,1.35,1.61
2229,Female,0.97,1.41,0.29
2338,Male,0.84,,
2384,Female,3.03,,
2401,Female,0.88,0.08,
2405,Male,0.85,,
2467,Female,1.56,,
2478,Female,3.02,,
2490,Male,2.29,,
2504,Female,1.11,0.44,0.55
2509,Male,2.17,,
2510,Female,0.82,0.2,0.47
2514,Male,1.41,,
2515,Female,1.76,1.64,1.58
2520,Male,1.38,0.02,
2521,Female,2.79,,
2529,Male,1.5,,
2533,Female,1.91,2.05,
2535,Female,2.32,,
2538,Male,2.05,,
2549,Male,2.17,0.7,0.76
2551,Female,2.05,,
2558,Female,1.61,,
2562,Female,1.66,0.85,
2565,Female,2.3,,
2566,Female,2.76,,
2568,Female,1.44,,
2586,Female,1.06,,
2601,Male,3.23,,
2602,Male,0.97,0.38,0.76
2604,Male,2.57,0.11,0.02
2606,Female,0.26,,
2609,Female,0.47,,
2611,Female,1.73,,
2612,Male,1.94,0.82,1.67
2616,Male,1.91,,
2624,Female,2.08,0.91,0.96
2633,Female,1.91,,
2642,Female,1.42,,
2644,Male,1.5,,
2662,Female,0.11,,
2663,Male,1.67,,
2664,Male,2.08,,
2669,Female,2.05,,
2670,Male,2,,
2675,Male,1.52,,
2676,Female,1.58,,
2677,Male,1.28,0.38,0.14
2681,Male,1.88,,
2685,Female,1.32,,
2686,Female,2.09,,
2687,Male,2,,
2688,Female,2.64,,
2689,Male,0.85,0.32,0.52
2692,Female,2.47,0.23,0.38
2698,Female,1.79,,
2709,Female,1.64,,
2710,Male,1.32,,
2712,Female,2.97,,
2726,Female,1.44,0.14,
2727,Female,2.02,,
2728,Male,1.79,,
2730,Male,1.34,,
2731,Female,2.29,1.9,
2732,Female,1.66,,
2734,Female,0.6,,
2735,Female,1.76,0.76,0.29
2736,Female,1.5,,
2737,Female,2.08,0.7,
2748,Female,1,0.55,
2752,Male,1.73,,
2756,Female,1.05,0.38,
2758,Male,2.81,,
2759,Female,1.52,,
2768,Male,1.47,,
2769,Female,2.64,,
2770,Female,2.2,1.18,
2771,Male,0.55,0.79,
2772,Male,2.29,,
2773,Female,2,,
2775,Male,2.23,,
2779,Female,2.45,,
2780,Male,1.2,,
2783,Male,2.91,2.08,2.11
2784,Female,1.14,1,
2788,Male,1.88,,
2789,Male,0.94,,
2791,Female,1.85,,
2794,Female,2.58,,
2796,Female,0.61,,
2799,Male,0.7,,
2806,Male,1.38,,
2807,Female,1.94,,
2811,Female,2.29,,
2812,Male,1.59,,
2813,Female,2.46,,
2814,Female,1.67,0.14,
2825,Female,2.02,0.58,0.5
2827,Male,1.5,,
2828,Female,2.7,1.7,1.91
2829,Female,1.61,,
2830,Male,2.29,,
2831,Female,0.97,1.06,0.76
2839,Male,1.85,,
2842,Female,2.76,,
2857,Male,1.64,,
2858,Male,1.17,,
2859,Male,1.57,,
2862,Female,2.23,,
2863,Female,2.05,1.58,2.15
2875,Female,2.05,,
2876,Female,2.94,,
2883,Female,2.39,,
2890,Male,1.94,,
2894,Female,2.12,,
2895,Female,1.11,,
2897,Female,0.97,,
2898,Female,1.35,,
2899,Female,2.81,2.08,
2900,Female,2.5,,
2901,Male,1.87,,
2920,Male,1.33,,
2921,Female,1.26,,
2922,Female,1.44,,
2923,Male,0.55,,
2924,Female,1.75,,
2925,Female,2.08,,
2932,Male,0.85,,
2933,Female,2.52,,
2935,Female,3,,
2936,Female,1.41,,
2937,Female,1.08,,
2938,Male,1.2,1.38,1.5
2940,Male,1.94,1.44,
2941,Female,2.26,1.73,1.73
2942,Male,1.41,,
2948,Female,2.5,,
2952,Male,2.17,,
2953,Male,1.82,1.11,
2954,Female,1.44,1.14,
2956,Female,1.66,,
2957,Male,1.82,,
2958,Male,1.26,,
2959,Female,2.67,,
2961,Female,1.47,,
2962,Female,1.84,,
2964,Female,2.58,,
2966,Male,1.73,,
2967,Male,1.23,,
2968,Male,2.32,,
2972,Female,2.67,,
2974,Female,1.02,,
2975,Female,1.66,2.12,2.7
2976,Female,1.88,,
2977,Female,1.91,,
2978,Female,1.64,,
2979,Male,1.34,,
2982,Male,1.85,,
2983,Male,2.08,,
2984,Male,1.02,,
2985,Female,1.79,,
2988,Female,1.94,,
2989,Female,3.26,1.97,1.67
2990,Male,1.14,0.58,0.11
3008,Female,1.5,0.7,0.38
3009,Female,2.03,,
3010,Female,2.24,,
3013,Female,1.11,,
3014,Female,2.21,,
3016,Male,1.94,,
3017,Male,2.41,,
3018,Male,0.88,,
3019,Female,1.17,1.35,
3027,Male,2.23,,
3028,Female,1.64,,
3029,Female,2.14,,
3030,Male,0.11,0.29,
3031,Male,2.17,,
3032,Female,1.67,,
3033,Female,1,,
3034,Female,0.88,,
3035,Male,2.2,,
3048,Male,2.17,,
3049,Female,2.32,,
3051,Male,1.64,,
3052,Female,3,,
3053,Female,2.38,0.85,
3054,Female,1.6,1.02,
3055,Female,1.58,,
3056,Female,2.61,,
3057,Male,1.44,0.05,0.2
3064,Male,1.57,,
3065,Female,2.32,,
3068,Female,1.14,,
3069,Male,1.93,,
3070,Male,2.47,,
3072,Female,2.29,,
3073,Female,1,,
3092,Female,1.58,,
3093,Male,2.44,,
3094,Female,0.83,,
3095,Male,2.71,0.78,0.33
3096,Female,1.73,,
3097,Male,1.58,,
3098,Male,1.5,,
3100,Female,1.05,,
3106,Male,2.05,,
3107,Female,2.63,,
3109,Male,2.55,2.29,
3111,Female,2,,
3112,Male,2,,
3114,Female,1.32,,
3116,Female,3.14,,
3118,Male,1.44,,
3129,Male,1.85,0.23,
3131,Female,1.41,0.44,
3132,Female,1.94,,
3133,Male,2.91,,
3135,Female,1.85,,
3136,Male,1.7,,
3137,Female,2.23,,
3138,Male,1.11,,
3139,Female,1.47,,
3146,Female,2.2,,
3147,Male,1.82,,
3148,Female,1.42,,
3168,Female,2.44,,
3171,Female,2.66,,
3172,Male,1.52,,
3173,Female,1.35,0.47,0.73
3180,Female,1.29,,
3182,Female,2.32,,
3190,Male,0.78,,
3192,Female,2.84,,
3202,Male,0.97,,
3236,Female,1.52,,
3245,Female,1.7,,
3246,Female,0.94,1.17,1.29
3247,Male,1.41,,
3248,Male,1.79,,
3249,Male,1.08,0.44,0.44
