goal,competence,intrinsic_1,intrinsic_2
Internal,Low,1.1,1.55
Internal,Low,1.94,1.7
Internal,Low,1.56,1.08
Internal,Low,1.7,1.08
Internal,Medium,1.45,1.11
Internal,Medium,1.64,1.19
Internal,Medium,2.95,1.25
Internal,Low,1.68,1.42
Internal,High,1.69,1.44
Internal,High,2.2,1.46
Internal,Low,3.35,1.47
Internal,Low,1.58,1.47
Internal,Medium,2.73,1.54
Internal,Medium,1.48,1.68
Internal,High,3.51,1.86
Internal,Medium,2.03,1.99
Internal,Low,1.74,2.11
Internal,High,2.06,2.36
Internal,High,2.16,2.37
Internal,Low,2.44,2.45
Internal,Medium,2.51,2.45
Internal,Medium,2.56,2.48
Internal,Low,2.77,2.48
Internal,High,3.4,2.62
Internal,Medium,3.64,2.86
Internal,High,2.4,2.97
Internal,High,3.44,3.29
Internal,Medium,3.1,3.38
Internal,High,3.05,3.69
Internal,High,3.23,3.91
External,High,4.95,1.86
External,Low,5.36,2.21
External,Low,5.63,2.24
External,Low,4.65,2.42
External,Low,5.03,2.5
External,Low,4.97,2.58
External,Medium,4.85,2.73
External,High,5.45,2.75
External,Medium,5.57,2.86
External,Low,4.52,3.14
External,Medium,4.56,3.45
External,High,5.57,3.49
External,Medium,5.08,3.83
External,High,5.95,3.9
External,Medium,5.14,3.98
External,Low,4.31,4.33
External,Medium,4.73,4.52
External,Medium,5.07,4.77
External,Medium,5.42,4.92
External,Low,5.84,5.38
External,Medium,5.63,5.44
External,High,5.65,5.48
External,Low,5.32,5.8
External,High,5.28,5.81
External,Low,5,6
External,Medium,5.98,6.33
External,High,5.66,6.55
External,High,5.93,6.69
External,High,6.4,6.87
External,High,5.99,6.99
