participant_type,competence
novice,15.15991797
novice,20.55826659
novice,17.91269072
novice,24.97406292
novice,12.84081974
novice,21.19257703
novice,23.87675687
novice,22.07901359
novice,18.98792458
novice,20.03518231
novice,9.923380118
novice,21.38883475
novice,18.25654332
novice,18.24328277
novice,20.62369453
novice,19.76159634
novice,21.46970428
novice,17.29068162
novice,22.90969857
novice,16.07212121
intermediate,41.39940775
intermediate,35.40282561
intermediate,44.74788614
intermediate,34.54945931
intermediate,27.46445911
intermediate,39.71627965
intermediate,33.75539597
intermediate,38.74415781
intermediate,49.9353299
intermediate,28.73933356
intermediate,30.78707198
intermediate,46.40706819
intermediate,50.63254596
intermediate,31.91160149
intermediate,35.87657174
intermediate,53.97898509
intermediate,31.00781747
intermediate,60.24686189
intermediate,39.30038527
intermediate,37.76764875
advanced,65.40577479
advanced,65.01960725
advanced,64.07672714
advanced,70.3697916
advanced,56.93068144
advanced,57.63081484
advanced,60.68822798
advanced,51.54337041
advanced,56.0089244
advanced,51.41190817
advanced,62.41347969
advanced,62.97186374
advanced,70.35859587
advanced,64.75006739
advanced,55.60154061
advanced,56.92558269
advanced,59.38937902
advanced,50.44227706
advanced,55.75071567
advanced,54.34039449
postgraduate,62.89408379
postgraduate,58.45020906
postgraduate,66.39047535
postgraduate,60.81724625
postgraduate,57.4643618
postgraduate,62.74093078
postgraduate,63.23398295
postgraduate,60.63702805
postgraduate,62.15088951
postgraduate,61.61988252
postgraduate,60.99620793
postgraduate,64.39595343
postgraduate,61.89007204
postgraduate,60.6776751
postgraduate,63.15741799
postgraduate,65.74889091
postgraduate,61.74909726
postgraduate,64.57875011
postgraduate,61.16400643
postgraduate,62.63940957
therapist,44.22963922
therapist,44.13307991
therapist,45.21050494
therapist,32.64644638
therapist,53.38266747
therapist,40.04696755
therapist,38.51221398
therapist,50.7732552
therapist,53.55889663
therapist,49.60243489
therapist,51.72110694
therapist,37.41430908
therapist,40.06361675
therapist,46.45233298
therapist,57.69231603
therapist,49.87229699
therapist,36.51853614
therapist,47.98028704
therapist,45.68827643
therapist,37.14220946
