year,type,money
2007,Volleyball,50.91
2007,Volleyball,51.58
2007,Volleyball,51.65
2007,Volleyball,51.8
2007,Volleyball,52.18
2007,Volleyball,52.72
2007,Volleyball,52.75
2007,Volleyball,53.08
2007,Volleyball,53.08
2007,Volleyball,53.16
2007,Volleyball,53.72
2007,Volleyball,53.89
2007,Volleyball,54.01
2007,Volleyball,54.36
2007,Volleyball,54.44
2007,Volleyball,54.45
2007,Volleyball,54.57
2007,Volleyball,54.8
2007,Volleyball,54.96
2007,Volleyball,54.97
2007,Volleyball,55.14
2007,Volleyball,55.44
2007,Volleyball,55.58
2007,Volleyball,55.82
2007,Volleyball,55.98
2007,Volleyball,56.11
2007,Volleyball,56.19
2007,Volleyball,56.72
2007,Volleyball,56.82
2007,Volleyball,56.89
2007,Volleyball,57.08
2007,Volleyball,57.24
2007,Volleyball,57.35
2007,Volleyball,57.55
2007,Volleyball,57.72
2007,Volleyball,57.87
2007,Volleyball,58.07
2007,Volleyball,58.43
2007,Volleyball,58.47
2007,Volleyball,58.47
2007,Volleyball,58.51
2007,Volleyball,58.52
2007,Volleyball,58.66
2007,Volleyball,58.81
2007,Volleyball,58.81
2007,Volleyball,58.87
2007,Volleyball,59.03
2007,Volleyball,59.27
2007,Volleyball,59.37
2007,Volleyball,59.46
2007,Volleyball,59.62
2007,Volleyball,59.95
2007,Volleyball,60.08
2007,Volleyball,60.13
2007,Volleyball,60.28
2007,Volleyball,60.33
2007,Volleyball,60.35
2007,Volleyball,60.86
2007,Volleyball,60.9
2007,Volleyball,60.93
2007,Volleyball,61
2007,Volleyball,61.01
2007,Volleyball,61.04
2007,Volleyball,61.07
2007,Volleyball,61.14
2007,Volleyball,61.28
2007,Volleyball,61.34
2007,Volleyball,61.37
2007,Volleyball,61.53
2007,Volleyball,61.56
2007,Volleyball,61.61
2007,Volleyball,62.04
2007,Volleyball,62.1
2007,Volleyball,62.13
2007,Volleyball,62.25
2007,Volleyball,62.31
2007,Volleyball,62.31
2007,Volleyball,62.44
2007,Volleyball,62.55
2007,Volleyball,62.68
2007,Volleyball,62.88
2007,Volleyball,62.94
2007,Volleyball,63.36
2007,Volleyball,63.48
2007,Volleyball,63.5
2007,Volleyball,63.55
2007,Volleyball,63.57
2007,Volleyball,63.74
2007,Volleyball,63.83
2007,Volleyball,64.23
2007,Volleyball,64.29
2007,Volleyball,64.35
2007,Volleyball,64.4
2007,Volleyball,64.43
2007,Volleyball,64.51
2007,Volleyball,64.55
2007,Volleyball,64.61
2007,Volleyball,64.69
2007,Volleyball,64.7
2007,Volleyball,64.72
2007,Volleyball,64.72
2007,Volleyball,64.73
2007,Volleyball,65.15
2007,Volleyball,65.22
2007,Volleyball,65.31
2007,Volleyball,65.47
2007,Volleyball,65.59
2007,Volleyball,65.62
2007,Volleyball,65.82
2007,Volleyball,65.84
2007,Volleyball,65.91
2007,Volleyball,66.18
2007,Volleyball,66.19
2007,Volleyball,66.43
2007,Volleyball,66.61
2007,Volleyball,67.32
2007,Volleyball,67.34
2007,Volleyball,67.62
2007,Volleyball,67.71
2007,Volleyball,67.72
2007,Volleyball,67.8
2007,Volleyball,67.89
2007,Volleyball,68.13
2007,Volleyball,68.4
2007,Volleyball,68.48
2007,Volleyball,68.51
2007,Volleyball,68.53
2007,Volleyball,68.77
2007,Volleyball,68.92
2007,Volleyball,68.97
2007,Volleyball,69.04
2007,Volleyball,69.06
2007,Volleyball,69.1
2007,Volleyball,69.11
2007,Volleyball,69.18
2007,Volleyball,69.18
2007,Volleyball,69.24
2007,Volleyball,69.37
2007,Volleyball,69.48
2007,Volleyball,69.69
2007,Volleyball,70.14
2007,Volleyball,70.19
2007,Volleyball,70.22
2007,Volleyball,70.31
2007,Volleyball,70.34
2007,Volleyball,70.48
2007,Volleyball,70.54
2007,Volleyball,70.87
2007,Volleyball,70.88
2007,Volleyball,70.89
2007,Volleyball,70.91
2007,Volleyball,70.92
2007,Volleyball,71.01
2007,Volleyball,71.03
2007,Volleyball,71.11
2007,Volleyball,71.31
2007,Volleyball,71.36
2007,Volleyball,71.37
2007,Volleyball,71.5
2007,Volleyball,71.55
2007,Volleyball,71.59
2007,Volleyball,71.64
2007,Volleyball,71.91
2007,Volleyball,71.95
2007,Volleyball,71.97
2007,Volleyball,71.98
2007,Volleyball,72.04
2007,Volleyball,72.15
2007,Volleyball,72.19
2007,Volleyball,72.21
2007,Volleyball,72.3
2007,Volleyball,72.45
2007,Volleyball,72.46
2007,Volleyball,72.69
2007,Volleyball,72.71
2007,Volleyball,72.95
2007,Volleyball,73.16
2007,Volleyball,73.21
2007,Volleyball,73.38
2007,Volleyball,73.46
2007,Volleyball,73.47
2007,Volleyball,73.87
2007,Volleyball,74.2
2007,Volleyball,74.35
2007,Volleyball,74.55
2007,Volleyball,74.91
2007,Volleyball,74.92
2007,Volleyball,75.1
2007,Volleyball,75.16
2007,Volleyball,75.21
2007,Volleyball,75.26
2007,Volleyball,75.34
2007,Volleyball,75.47
2007,Volleyball,75.52
2007,Volleyball,75.62
2007,Volleyball,75.63
2007,Volleyball,76.12
2007,Volleyball,76.31
2007,Volleyball,76.51
2007,Volleyball,76.55
2007,Volleyball,76.6
2007,Volleyball,76.67
2007,Volleyball,76.86
2007,Volleyball,76.87
2007,Volleyball,77.03
2007,Volleyball,77.14
2007,Volleyball,77.19
2007,Volleyball,77.2
2007,Volleyball,77.36
2007,Volleyball,77.59
2007,Volleyball,77.79
2007,Volleyball,77.89
2007,Volleyball,77.9
2007,Volleyball,78.37
2007,Volleyball,78.43
2007,Volleyball,78.56
2007,Volleyball,78.6
2007,Volleyball,78.82
2007,Volleyball,79.06
2007,Volleyball,79.27
2007,Volleyball,79.55
2007,Volleyball,79.67
2007,Volleyball,79.71
2007,Volleyball,79.78
2007,Volleyball,79.78
2007,Volleyball,79.84
2007,Volleyball,80.04
2007,Volleyball,80.05
2007,Volleyball,80.13
2007,Volleyball,80.35
2007,Volleyball,80.42
2007,Volleyball,80.48
2007,Volleyball,80.73
2007,Volleyball,81.03
2007,Volleyball,81.25
2007,Volleyball,81.63
2007,Volleyball,81.65
2007,Volleyball,81.73
2007,Volleyball,81.79
2007,Volleyball,81.81
2007,Volleyball,82.27
2007,Volleyball,82.33
2007,Volleyball,82.4
2007,Volleyball,82.44
2007,Volleyball,82.8
2007,Volleyball,82.98
2007,Volleyball,83.05
2007,Volleyball,83.08
2007,Volleyball,83.09
2007,Volleyball,83.76
2007,Volleyball,83.79
2007,Volleyball,83.81
2007,Volleyball,84.48
2007,Volleyball,84.49
2007,Volleyball,84.63
2007,Volleyball,84.68
2007,Volleyball,84.68
2007,Volleyball,85.17
2007,Volleyball,85.38
2007,Volleyball,85.4
2007,Volleyball,85.49
2007,Volleyball,85.55
2007,Volleyball,85.6
2007,Volleyball,85.6
2007,Volleyball,85.71
2007,Volleyball,86.18
2007,Volleyball,86.19
2007,Volleyball,86.23
2007,Volleyball,86.24
2007,Volleyball,86.31
2007,Volleyball,86.45
2007,Volleyball,86.67
2007,Volleyball,86.74
2007,Volleyball,86.75
2007,Volleyball,86.78
2007,Volleyball,86.98
2007,Volleyball,87.01
2007,Volleyball,87.18
2007,Volleyball,87.3
2007,Volleyball,87.51
2007,Volleyball,87.64
2007,Volleyball,88.11
2007,Volleyball,88.24
2007,Volleyball,88.63
2007,Volleyball,88.83
2007,Volleyball,89.18
2007,Volleyball,89.26
2007,Volleyball,89.27
2007,Volleyball,89.28
2007,Volleyball,89.36
2007,Volleyball,89.45
2007,Volleyball,89.52
2007,Volleyball,89.69
2007,Volleyball,89.79
2007,Volleyball,89.82
2007,Volleyball,89.86
2007,Volleyball,89.94
2007,Volleyball,89.97
2007,Volleyball,90.14
2007,Volleyball,90.3
2007,Volleyball,90.39
2007,Volleyball,90.56
2007,Volleyball,90.62
2007,Volleyball,90.8
2007,Volleyball,91.11
2007,Volleyball,91.19
2007,Volleyball,91.22
2007,Volleyball,91.24
2007,Volleyball,91.52
2007,Volleyball,91.57
2007,Volleyball,91.59
2007,Volleyball,91.75
2007,Volleyball,91.77
2007,Volleyball,91.86
2007,Volleyball,91.88
2007,Volleyball,91.89
2007,Volleyball,92.11
2007,Volleyball,92.46
2007,Volleyball,92.49
2007,Volleyball,92.57
2007,Volleyball,92.75
2007,Volleyball,92.83
2007,Volleyball,92.86
2007,Volleyball,93.39
2007,Volleyball,93.54
2007,Volleyball,93.73
2007,Volleyball,93.82
2007,Volleyball,93.84
2007,Volleyball,93.91
2007,Volleyball,93.94
2007,Volleyball,93.97
2007,Volleyball,94.08
2007,Volleyball,94.22
2007,Volleyball,94.28
2007,Volleyball,94.43
