fsglobsglo,fsghibsglo,fsglobsghi,fsghibsghi
35.333,30.333,30.333,71.583
63.667,88.667,58.25,72.417
41.167,74.5,47.417,58.667
52,72.833,55.333,57.833
29.083,46.167,41.583,88.667
33.667,51.583,45.804,47.833
40.75,44.917,47.109,47.833
43.25,46.583,44.5,86.167
62,67.109,58.667,57.682
54.5,77.417,63.667,66.583
29.5,63.667,34.5,56.167
28.25,35.75,32.417,58.667
24.5,38.25,26.583,70.333
29.917,42.833,35.333,78.25
39.917,48.667,45.333,51.583
31.583,43.25,44.083,78.667
27.417,43.25,25.75,53.667
33.667,52.833,49.917,87.417
35.75,42.833,46.167,73.667
84.083,88.667,89.083,93.667
44.917,63.25,45.75,59.917
69.5,87.417,78.25,93.25
38.667,56.583,41.891,57.833
57.543,71.167,35.333,66.583
60.75,64.083,61.167,61.583
31.167,48.25,40.587,57.543
57.417,62.417,59.5,60.75
31.583,44.5,36.167,72.417
44.917,45.75,48.667,74.917
67,85.75,72,90.333
78.25,85.333,75.75,90.75
52.761,53.667,55.75,58.25
44.083,46.583,41.583,75.333
67,83.591,73.667,84.065
54.083,65.333,56.583,93.667
37.833,47.417,49.5,74.917
35.75,49.083,39.917,77.417
49.5,56.167,54.917,60.333
74.917,82,77.417,93.25
37,49.283,47.543,60.587
71.583,82.833,83.25,91.457
44.083,52,53.25,60.152
74.917,82.833,81.167,89.5
43.25,59.917,50.75,62
34.065,58.667,44.5,87.417
30.75,47,31.167,63.667
27.417,52.417,38.25,61.167
65.333,80.333,68.667,92.833
47.833,47.417,51.167,69.917
58.25,79.083,61.773,80.333
59.5,72.417,68.667,93.667
59.5,81.167,73.667,88.25
37,55.333,46.167,82.833
70.333,80.333,79.083,90.333
67,64.935,70.75,90.333
46.674,50.587,45.864,76.167
49.917,61.167,49.083,87.833
60.333,68.667,68.25,92
64.065,79.5,60.333,90.75
52.833,78.25,57,80.333
69.5,79.083,75.75,91.167
76.583,80.152,77.682,87.543
57.833,78.848,63.25,91.167
61.891,79.917,59.717,86.583
72,78.667,72.417,90.75
71.583,75.804,75.333,92.417
56.167,62,67,87.833
57,72.833,59.083,92.417
44.5,59.5,57.833,64.5
44.917,49.5,48.667,69.917
71.167,69.083,73.25,91.167
67,71.583,67.833,91.583
54.917,54.917,48.667,80.333
57,78.667,65.75,87
44.083,54.083,47.543,79.083
34.5,67.417,43.667,69.5
45.75,50.333,45.75,70.75
65.333,77.417,69.283,89.083
50.333,77.833,61.167,83.667
59.5,69.083,57.417,90.333
56.583,72.833,62.417,74.917
69.5,75.75,70.333,90.333
52.833,76.583,53.667,89.717
61.891,77.417,53.196,88.413
51.167,56.674,53.667,81.583
56.167,65.75,59.083,88.667
40.333,51.583,44.5,72.833
63.667,76.583,77,87.833
55.333,72.833,68.25,89.917
49.083,69.5,64.083,89.5
71.167,70.333,67,89.5
41.167,68.667,46.583,71.891
43.25,52.417,53.63,69.283
58.667,65.333,69.5,87.417
59.083,75.333,62,80.75
58.667,76.167,69.5,83.25
65.333,74.083,72,88.848
46.167,76.167,67,84.917
49.5,66.583,53.667,87.833
37.417,54.5,48.667,76.583
52.417,58.667,57.833,82
41.022,58.25,43.25,67
56.167,74.5,74.5,87.833
42.417,54.917,46.167,77
59.717,73.667,61.583,88.25
41.583,61.583,49.917,68.25
68.667,74.5,68.667,80.587
31.167,54.083,37.833,74.917
55.75,74.5,67.833,86.583
48.848,54.083,57.833,73.667
51.583,64.917,57,85.75
45.409,54.917,49.083,74.917
48.25,74.083,54.5,82.833
59.083,73.25,60.333,86.167
52,55.333,49.917,75.333
43.667,73.667,52,84.917
41.457,72,62,78.25
44.917,55.333,49.5,74.5
55.333,69.083,60.333,86.583
37.833,62,42.833,69.917
37.417,68.667,48.25,74.5
49.917,62.833,51.167,70.333
50.333,64.917,59.5,71.583
55.75,68.667,64.917,86.167
44.5,61.457,52.417,82.326
58.25,70.333,69.083,86.167
34.5,64.5,34.083,71.583
37.833,72.833,42.417,83.25
53.25,72.417,55.804,84.083
47.833,69.5,59.5,85.75
54.083,71.167,61.167,85.333
50.333,61.583,57.417,81.583
67.833,72,72,82.417
44.083,60.333,52.417,80.333
40.75,66.167,54.5,84.083
48.667,69.083,67.833,77
55.333,68.667,62.417,76.583
44.083,70.75,48.667,82
54.5,70.333,59.5,81.583
45.75,61.583,55.333,72.417
52.326,62.833,58.25,81.167
49.917,58.667,64.917,74.083
47.833,65.75,46.167,74.917
37.417,67.417,55.333,82.833
60.333,61.583,60.75,73.25
46.583,61.583,44.083,73.25
52.833,68.25,62,82.417
42.417,59.917,60.333,75.333
59.5,61.167,58.25,74.083
37.417,61.891,46.583,78.667
45.75,67.833,56.583,80.333
51.167,64.083,62.227,75.333
52.833,66.583,64.083,80.75
57,65.75,66.583,77.417
46.583,65.75,56.583,78.25
42.417,64.5,45.333,79.083
