year,type,money
2007,Basketball,42.56
2007,Basketball,42.86
2007,Basketball,43.2
2007,Basketball,44.38
2007,Basketball,44.67
2007,Basketball,44.98
2007,Basketball,45.02
2007,Basketball,45.1
2007,Basketball,45.18
2007,Basketball,45.23
2007,Basketball,45.89
2007,Basketball,45.91
2007,Basketball,46.02
2007,Basketball,46.03
2007,Basketball,46.39
2007,Basketball,46.58
2007,Basketball,46.61
2007,Basketball,46.62
2007,Basketball,46.71
2007,Basketball,46.95
2007,Basketball,47.1
2007,Basketball,47.12
2007,Basketball,47.55
2007,Basketball,47.61
2007,Basketball,47.62
2007,Basketball,47.94
2007,Basketball,47.98
2007,Basketball,48.33
2007,Basketball,48.44
2007,Basketball,48.47
2007,Basketball,48.75
2007,Basketball,48.92
2007,Basketball,49.01
2007,Basketball,49.12
2007,Basketball,49.13
2007,Basketball,49.66
2007,Basketball,49.73
2007,Basketball,49.84
2007,Basketball,49.94
2007,Basketball,50.12
2007,Basketball,50.15
2007,Basketball,50.15
2007,Basketball,50.16
2007,Basketball,50.55
2007,Basketball,50.58
2007,Basketball,51.1
2007,Basketball,51.2
2007,Basketball,51.47
2007,Basketball,51.91
2007,Basketball,51.97
2007,Basketball,52.16
2007,Basketball,52.19
2007,Basketball,52.22
2007,Basketball,52.83
2007,Basketball,52.95
2007,Basketball,53.04
2007,Basketball,53.06
2007,Basketball,53.49
2007,Basketball,53.63
2007,Basketball,53.71
2007,Basketball,53.8
2007,Basketball,53.81
2007,Basketball,53.84
2007,Basketball,53.88
2007,Basketball,54.05
2007,Basketball,54.17
2007,Basketball,54.23
2007,Basketball,54.32
2007,Basketball,54.38
2007,Basketball,54.65
2007,Basketball,54.73
2007,Basketball,54.81
2007,Basketball,54.94
2007,Basketball,54.95
2007,Basketball,54.98
2007,Basketball,54.98
2007,Basketball,54.99
2007,Basketball,55.06
2007,Basketball,55.13
2007,Basketball,55.42
2007,Basketball,55.65
2007,Basketball,55.68
2007,Basketball,55.71
2007,Basketball,55.83
2007,Basketball,55.95
2007,Basketball,55.99
2007,Basketball,56.03
2007,Basketball,56.06
2007,Basketball,56.17
2007,Basketball,56.29
2007,Basketball,56.49
2007,Basketball,56.69
2007,Basketball,56.83
2007,Basketball,56.91
2007,Basketball,56.98
2007,Basketball,56.98
2007,Basketball,56.99
2007,Basketball,56.99
2007,Basketball,57.02
2007,Basketball,57.1
2007,Basketball,57.1
2007,Basketball,57.23
2007,Basketball,57.42
2007,Basketball,57.54
2007,Basketball,57.6
2007,Basketball,57.63
2007,Basketball,57.74
2007,Basketball,57.76
2007,Basketball,57.77
2007,Basketball,57.95
2007,Basketball,57.97
2007,Basketball,58
2007,Basketball,58.02
2007,Basketball,58.06
2007,Basketball,58.31
2007,Basketball,58.34
2007,Basketball,58.45
2007,Basketball,58.66
2007,Basketball,58.72
2007,Basketball,58.84
2007,Basketball,58.91
2007,Basketball,58.99
2007,Basketball,59.03
2007,Basketball,59.47
2007,Basketball,59.54
2007,Basketball,59.6
2007,Basketball,59.63
2007,Basketball,59.66
2007,Basketball,59.76
2007,Basketball,59.78
2007,Basketball,59.88
2007,Basketball,59.96
2007,Basketball,60
2007,Basketball,60.19
2007,Basketball,60.26
2007,Basketball,60.3
2007,Basketball,60.4
2007,Basketball,60.41
2007,Basketball,60.48
2007,Basketball,60.49
2007,Basketball,60.75
2007,Basketball,60.81
2007,Basketball,60.87
2007,Basketball,60.88
2007,Basketball,60.97
2007,Basketball,61.07
2007,Basketball,61.13
2007,Basketball,61.25
2007,Basketball,61.28
2007,Basketball,61.29
2007,Basketball,61.29
2007,Basketball,61.4
2007,Basketball,61.51
2007,Basketball,61.56
2007,Basketball,61.68
2007,Basketball,61.8
