SDQ2N01,SDQ2N13,SDQ2N25,SDQ2N37,SDQ2N04,SDQ2N16,SDQ2N28,SDQ2N40,SDQ2N10,SDQ2N22,SDQ2N34,SDQ2N46,SDQ2N07,SDQ2N19,SDQ2N31,SDQ2N43
6,,4,,3,4,,6,2,6,,5,,,,6
6,6,6,,6,6,6,6,5,,6,6,6,6,6,6
4,6,6,2,6,4,6,3,6,5,4,5,6,6,3,1
5,5,5,6,5,6,5,,5,6,3,5,6,6,6,5
6,5,,4,3,4,4,4,4,6,5,6,3,4,4,5
,5,5,3,,2,4,,,4,5,6,,,4,4
1,6,1,6,,,,,,,1,6,5,,,5
2,1,,,,4,,6,6,6,1,5,3,4,4,6
5,5,6,6,6,6,,6,,6,5,,6,6,,
4,6,3,,6,,,,4,,,6,5,6,6,
2,6,6,6,5,6,,6,2,6,,6,6,,6,6
5,5,,5,,6,6,6,6,6,6,6,,6,,6
,,6,5,5,,5,,,6,5,6,6,6,6,6
4,3,5,,4,5,5,5,5,,2,6,6,6,6,6
4,,5,4,4,,5,4,5,6,5,2,4,5,5,5
,6,6,,4,,5,,,,2,5,,5,5,
6,,6,6,4,6,6,6,,6,3,6,,,6,6
6,6,,4,,5,,6,,,2,6,6,6,6,6
5,4,6,,,4,2,5,5,6,1,6,6,5,,
,5,5,,5,6,4,,4,,3,6,,5,,
6,5,4,6,3,6,4,5,6,6,3,6,,,5,5
5,,,5,6,6,6,6,5,,5,5,6,,6,6
1,4,1,1,3,3,1,1,,,,1,,1,1,1
5,6,6,5,3,5,,,5,,6,6,6,6,6,
,4,,,3,4,,5,5,6,2,6,3,3,4,5
5,,6,,6,5,6,6,3,6,,5,,6,6,6
,6,6,3,3,,3,4,3,,3,6,,4,,
5,5,,,5,3,3,5,6,6,,4,5,,5,5
5,,6,6,6,5,6,,,6,,6,,5,6,
3,6,5,5,2,,4,4,3,5,,3,4,5,4,5
,6,,6,4,,,6,5,6,,,,4,,3
,2,5,,2,2,2,,,5,,,1,1,1,1
,4,,5,,5,,6,6,6,4,6,,6,,5
6,6,6,5,4,4,3,5,3,6,4,5,1,,5,5
4,6,4,,,4,5,3,,,1,5,4,1,4,6
,2,,4,,3,5,5,3,5,1,,2,5,2,2
5,,6,6,,4,5,5,4,6,3,,5,5,6,5
6,,6,3,3,,,5,5,2,6,6,3,,,5
4,6,6,,6,3,4,3,,6,6,6,,,4,2
,6,6,6,,6,6,,6,6,,6,,,6,6
2,5,,5,4,4,,6,5,6,,6,2,4,5,5
3,6,,4,3,4,4,5,5,6,5,6,4,3,5,5
6,6,,,3,5,,5,,,2,3,6,5,5,5
,6,,,,5,5,6,,6,4,6,5,3,5,6
2,3,4,3,2,3,4,2,5,6,1,,,2,,1
3,1,,6,5,5,5,6,3,6,1,1,6,5,,4
3,1,6,,1,,,4,4,6,1,,5,6,,6
,5,,5,,5,,4,2,,,,5,6,,5
5,6,6,5,5,4,5,6,,6,2,6,3,,,4
3,5,,4,4,,,4,,5,1,2,6,,6,6
3,5,4,4,,6,5,5,4,5,3,6,4,5,,6
5,6,6,,6,5,6,6,5,6,,6,6,6,6,6
5,2,5,,5,,5,,,6,,1,6,6,6,6
,3,1,5,4,1,1,4,5,6,6,,1,1,1,6
,,,4,6,6,,6,6,6,5,6,6,6,6,6
