v01,v02,v03,v04,v05,v06,v07,v08,v09,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,SDQ2N01,SDQ2N13,SDQ2N25,SDQ2N37,SDQ2N04,SDQ2N16,SDQ2N28,SDQ2N40,SDQ2N10,SDQ2N22,SDQ2N34,SDQ2N46,SDQ2N07,SDQ2N19,SDQ2N31,SDQ2N43,MASTENG1,MASTMAT1,TENG1,TMAT1,SENG1,SMAT1
3,4,3,3,3,3,3,4,1,3,3,4,2,2,3,3,2,3,3,3,3,3,3,3,6,5,4,6,3,4,4,6,2,6,1,5,6,6,6,6,33,13,4,4,6,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,33,14,6,7,8,6
1,4,4,4,4,1,3,4,1,4,4,1,1,1,1,1,4,1,4,4,4,4,4,1,4,6,6,2,6,4,6,3,6,5,4,5,6,6,3,1,24,15,2,5,7,10
3,3,3,2,3,3,3,4,3,3,3,3,3,3,1,4,3,4,3,4,3,4,3,3,5,5,5,6,5,6,5,6,5,6,3,5,6,6,6,5,38,15,9,9,8,9
3,4,4,4,3,4,4,3,2,4,3,3,3,4,3,4,3,3,1,3,3,3,3,2,6,5,5,4,3,4,4,4,4,6,5,6,3,4,4,5,39,11,9,9,8,8
2,3,3,2,3,2,3,3,2,3,3,2,3,3,1,1,3,3,2,3,1,1,2,2,5,5,5,3,3,2,4,4,4,4,5,6,4,5,4,4,40,14,6,6,8,8
1,1,4,2,4,3,4,4,4,3,3,2,4,4,4,1,1,1,4,4,4,4,4,4,1,6,1,6,4,6,6,6,1,6,1,6,5,6,6,5,31,15,7,9,7,9
1,4,1,1,1,1,1,1,1,3,2,4,3,2,3,4,2,3,2,1,2,3,3,3,2,1,6,4,4,4,4,6,6,6,1,5,3,4,4,6,39,10,4,4,7,5
3,3,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,5,5,6,6,6,6,6,6,5,6,5,6,6,6,6,6,39,18,6,9,9,10
3,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,6,3,6,6,5,6,6,4,6,4,6,5,6,6,6,36,17,6,6,9,9
