rowtype_,varname_,SDQGSC,SDQASC,SDQESC,SDQMSC,APIGSC,SESGSC,APIASC,SCAASC,APIESC,SCAESC,APIMSC,SCAMSC
n,,248,248,248,248,248,248,248,248,248,248,248,248
corr,SDQGSC,1,,,,,,,,,,,
corr,SDQASC,0.32,1,,,,,,,,,,
corr,SDQESC,0.307,0.298,1,,,,,,,,,
corr,SDQMSC,0.244,0.355,-0.055,1,,,,,,,,
corr,APIGSC,0.614,0.237,0.214,0.267,1,,,,,,,
corr,SESGSC,0.755,0.261,0.276,0.255,0.588,1,,,,,,
corr,APIASC,0.456,0.571,0.392,0.345,0.547,0.458,1,,,,,
corr,SCAASC,0.27,0.58,0.265,0.226,0.219,0.27,0.523,1,,,,
corr,APIESC,0.143,0.43,0.623,0.03,0.181,0.108,0.476,0.373,1,,,
corr,SCAESC,0.231,0.377,0.433,0.004,0.265,0.245,0.424,0.509,0.498,1,,
corr,APIMSC,0.25,0.388,0.063,0.779,0.245,0.234,0.409,0.345,0.232,0.027,1,
corr,SCAMSC,0.234,0.348,-0.012,0.719,0.199,0.214,0.362,0.442,0.075,0.077,0.742,1
stddev,,13.442,12.391,9.468,13.416,9.028,4.875,8.83,4.48,10.701,4.858,10.566,5.824
mean,,75.936,49.415,55.036,41.569,76.758,31.157,70.165,24.746,57.794,25.343,41.71,22.944
