partno,trialcode,latency,response
412120.7270833333333337,real33,8479,3
412120.7270833333333337,real35,7845,10
412120.7270833333333337,real79,4594,5
412120.7270833333333337,real18,3178,10
412120.7270833333333337,real24,6222,10
412120.7270833333333337,real54,3065,10
412120.7270833333333337,real48,2491,8
412120.7270833333333337,real6,6210,4
412120.7270833333333337,real7,4070,6
412120.7270833333333337,real68,2886,9
412120.7270833333333337,real38,3821,4
412120.7270833333333337,real58,2330,10
412120.7270833333333337,real86,3848,4
412120.7270833333333337,real17,2194,4
412120.7270833333333337,real71,2037,10
412120.7270833333333337,real66,1696,10
412120.7270833333333337,real19,4907,7
412120.7270833333333337,real67,2061,10
412120.7270833333333337,real32,1253,10
412120.7270833333333337,real43,3640,8
412120.7270833333333337,real93,2845,10
412120.7270833333333337,real15,2652,10
412120.7270833333333337,real16,1907,8
412120.7270833333333337,real61,1739,8
412120.7270833333333337,real44,4196,9
412120.7270833333333337,real88,3772,8
412120.7270833333333337,real69,2294,6
412120.7270833333333337,real34,1636,7
412120.7270833333333337,real13,7792,5
412120.7270833333333337,real56,1573,5
412120.7270833333333337,real80,921,6
412120.7270833333333337,real36,4337,3
412120.7270833333333337,real62,2350,9
412120.7270833333333337,real75,1631,9
412120.7270833333333337,real39,1078,9
412120.7270833333333337,real26,1774,8
412120.7270833333333337,real37,4131,5
412120.7270833333333337,real90,2222,8
412120.7270833333333337,real72,1334,7
412120.7270833333333337,real30,2610,4
412120.7270833333333337,real77,1756,10
412120.7270833333333337,real59,3566,7
412120.7270833333333337,real73,984,7
412120.7270833333333337,real89,1965,9
412120.7270833333333337,real82,1854,9
412120.7270833333333337,real94,1123,8
412120.7270833333333337,real64,3115,10
412120.7270833333333337,real20,2680,8
412120.7270833333333337,real5,9560,10
412120.7270833333333337,real40,1273,9
412120.7270833333333337,real22,2919,6
412120.7270833333333337,real25,4780,7
412120.7270833333333337,real9,1633,7
412120.7270833333333337,real53,2624,5
412120.7270833333333337,real60,2210,7
412120.7270833333333337,real92,1495,10
412120.7270833333333337,real91,3298,7
412120.7270833333333337,real8,1414,7
412120.7270833333333337,real4,1409,6
412120.7270833333333337,real49,1901,10
412120.7270833333333337,real31,6535,1
412120.7270833333333337,real55,2083,8
412120.7270833333333337,real14,4341,10
412120.7270833333333337,real42,4531,2
412120.7270833333333337,real50,2477,10
412120.7270833333333337,real12,1161,8
412120.7270833333333337,real11,3289,10
412120.7270833333333337,real65,1114,10
412120.7270833333333337,real95,1266,10
412120.7270833333333337,real52,1088,10
412120.7270833333333337,real78,1168,10
412120.7270833333333337,real81,960,10
412120.7270833333333337,real76,2472,6
412120.7270833333333337,real45,1849,8
412120.7270833333333337,real29,1262,8
412120.7270833333333337,real83,2505,10
412120.7270833333333337,real51,1701,10
412120.7270833333333337,real74,1620,10
412120.7270833333333337,real1,2033,9
412120.7270833333333337,real63,3425,8
412120.7270833333333337,real41,1334,9
412120.7270833333333337,real57,1657,10
412120.7270833333333337,real70,4413,2
412120.7270833333333337,real10,2849,2
412120.7270833333333337,real28,1820,10
412120.7270833333333337,real27,3593,6
412120.7270833333333337,real84,3215,8
412120.7270833333333337,real87,1544,8
412120.7270833333333337,real2,4429,4
412120.7270833333333337,real3,3045,9
412120.7270833333333337,real21,1469,9
412120.7270833333333337,real23,2732,10
412120.7270833333333337,real96,3470,3
412120.7270833333333337,real46,1157,10
412120.7270833333333337,real47,2389,10
412120.7270833333333337,real85,4190,9
904120.60138888888888979,real33,5678,8
904120.60138888888888979,real35,21064,10
904120.60138888888888979,real79,4347,6
904120.60138888888888979,real18,6220,8
904120.60138888888888979,real24,10122,7
904120.60138888888888979,real54,7406,9
904120.60138888888888979,real48,7389,10
904120.60138888888888979,real6,6917,8
904120.60138888888888979,real7,8016,8
904120.60138888888888979,real68,7615,10
904120.60138888888888979,real38,8007,8
904120.60138888888888979,real58,7039,10
904120.60138888888888979,real86,8071,7
904120.60138888888888979,real17,7468,7
904120.60138888888888979,real71,5537,9
904120.60138888888888979,real66,4955,7
904120.60138888888888979,real19,5819,10
904120.60138888888888979,real67,7818,8
904120.60138888888888979,real32,7337,9
904120.60138888888888979,real43,4579,10
904120.60138888888888979,real93,7487,8
904120.60138888888888979,real15,16107,4
