expno,rating,orginalcode,id,speed,error,whichhand,LR_switch,finger_switch,rha,word_length,letter_freq,real_fake,speed_c
1_2,8,faw,1,75,49,Left,0,2,-3,3,4.251666667,1,15.17
1_2,5,resz,1,75,49,Left,0,3,-4,4,6.2725,1,15.17
1_2,4,saf,1,,49,Left,0,2,-3,3,5.574,1,15.17
1_2,5,zers,1,75,49,Left,0,3,-4,4,6.2725,1,15.17
1_2,7,zet,1,75,49,Left,0,2,-3,3,7.277333333,1,15.17
1_2,5,dafe,1,75,49,Left,0,3,-4,4,6.8375,1,15.17
1_2,4,tafe,1,75,49,Left,0,3,-4,4,8.03825,1,15.17
1_2,5,zade,1,75,49,Left,0,1,-4,4,6.299,1,15.17
1_2,7,zeef,1,75,49,Left,0,2,-4,4,6.9265,1,15.17
1_2,6,zeeg,1,75,49,Left,0,2,-4,4,6.87325,1,15.17
1_2,5,hilp,1,75,49,Left,0,3,4,4,4.7535,1,15.17
1_2,2,hok,1,75,49,Left,0,2,3,3,4.791,1,15.17
1_2,2,joi,1,75,49,Left,0,2,3,3,4.875333333,1,15.17
1_2,5,kop,1,75,49,Left,0,2,3,3,3.402666667,1,15.17
1_2,5,mok,1,75,49,Left,0,2,3,3,3.561666667,1,15.17
1_2,7,hiol,1,75,49,Left,0,2,4,4,6.148,1,15.17
1_2,2,kiy,1,75,49,Left,,1,3,3,3.237333333,1,15.17
1_2,4,poom,1,75,49,Left,0,2,4,4,4.83725,1,15.17
1_2,5,yoom,1,75,49,Left,0,2,4,4,4.8485,1,15.17
1_2,5,yoon,1,75,49,Left,0,2,4,4,5.93425,1,15.17
1_2,5,pabe,1,75,49,Left,1,3,-2,4,6.0725,1,15.17
1_2,3,yage,1,75,49,Left,1,3,-2,4,6.2145,1,15.17
1_2,5,zofe,1,75,49,Left,2,3,-2,4,5.62775,1,15.17
1_2,5,zoge,1,75,49,Left,2,3,-2,4,5.5745,1,15.17
1_2,5,zote,1,75,49,Left,2,3,-2,4,7.33475,1,15.17
1_2,5,jeet,1,75,49,Left,1,2,-2,4,8.65325,1,15.17
1_2,2,tofe,1,75,49,Left,2,3,-2,4,7.87325,1,15.17
1_2,5,vofe,1,75,49,Left,2,3,-2,4,5.85375,1,15.17
1_2,2,zape,1,75,49,Left,2,2,-2,4,5.718,1,15.17
1_2,8,fope,1,75,49,Left,2,3,0,4,6.0915,1,15.17
1_2,6,pome,1,75,49,Left,1,3,2,4,6.136,1,15.17
1_2,5,yope,1,75,49,Left,1,3,2,4,6.028,1,15.17
1_2,5,zoke,1,75,49,Left,2,3,0,4,5.26375,1,15.17
1_2,5,zope,1,75,49,Left,2,3,0,4,5.553,1,15.17
1_2,5,doof,1,75,49,Left,2,2,0,4,5.37375,1,15.17
1_2,5,noof,1,75,49,Left,1,2,2,4,5.99775,1,15.17
1_2,7,toog,1,75,49,Left,2,2,0,4,6.52125,1,15.17
1_2,5,yoob,1,75,49,Left,1,2,2,4,4.62,1,15.17
1_2,6,zood,1,75,49,Left,2,2,0,4,4.83525,1,15.17
1_2,6,pame,1,75,49,Left,3,3,0,4,6.301,1,15.17
1_2,8,peks,1,75,49,Left,3,3,0,4,5.4325,1,15.17
1_2,5,slek,1,75,49,Left,3,3,0,4,5.9565,1,15.17
1_2,5,spak,1,75,49,Left,3,3,0,4,4.29875,1,15.17
1_2,8,alak,1,75,49,Left,3,3,0,4,5.28275,1,15.17
1_2,4,lale,1,75,49,Left,3,3,0,4,7.22975,1,15.17
1_2,3,mepe,1,75,49,Left,3,3,0,4,7.43475,1,15.17
1_2,5,rocl,1,75,49,Left,3,3,0,4,5.07525,1,15.17
1_2,6,rorp,1,75,49,Left,3,3,0,4,5.3525,1,15.17
1_2,4,jote,1,75,49,Left,1,3,0,4,,1,15.17
1_2,5,mobe,1,75,49,Left,1,3,0,4,6.02675,1,15.17
1_2,4,yote,1,75,49,Left,1,3,0,4,7.80975,1,15.17
1_2,5,yove,1,75,49,Left,1,3,0,4,5.79025,1,15.17
1_2,5,yoze,1,75,49,Left,1,3,0,4,5.56425,1,15.17
1_2,4,deho,1,75,49,Left,1,2,0,4,7.639,1,15.17
1_2,5,edop,1,75,49,Left,1,2,0,4,6.59775,1,15.17
1_2,5,frol,1,75,49,Left,1,1,0,4,4.93675,1,15.17
1_2,4,loac,1,75,49,Left,1,2,0,4,5.62025,1,15.17
1_2,5,olra,1,75,49,Left,1,2,0,4,6.4215,1,15.17
1_2,5,yeem,1,75,49,Left,2,2,0,4,7.446,1,15.17
1_2,4,faw,2,93,44,Left,0,2,-3,3,4.251666667,1,33.17
1_2,5,resz,2,93,44,Left,0,3,-4,4,6.2725,1,33.17
1_2,4,saf,2,93,44,Left,0,2,-3,3,5.574,1,33.17
1_2,5,zers,2,93,44,Left,0,3,-4,4,6.2725,1,33.17
1_2,5,zet,2,93,44,Left,0,2,-3,3,7.277333333,1,33.17
1_2,6,dafe,2,93,44,Left,0,3,-4,4,6.8375,1,33.17
1_2,6,tafe,2,93,44,Left,0,3,-4,4,8.03825,1,33.17
1_2,7,zade,2,93,44,Left,0,1,-4,4,6.299,1,33.17
1_2,4,zeef,2,93,44,Left,0,2,-4,4,6.9265,1,33.17
1_2,5,zeeg,2,93,44,Left,0,2,-4,4,6.87325,1,33.17
1_2,4,hilp,2,93,44,Left,0,3,4,4,4.7535,1,33.17
1_2,5,hok,2,93,44,Left,0,2,3,3,4.791,1,33.17
1_2,7,joi,2,93,44,Left,0,2,3,3,4.875333333,1,33.17
1_2,7,kop,2,93,44,Left,0,2,3,3,3.402666667,1,33.17
1_2,4,mok,2,93,44,Left,0,2,3,3,3.561666667,1,33.17
1_2,5,hiol,2,93,44,Left,0,2,4,4,6.148,1,33.17
1_2,5,kiy,2,93,44,Left,0,1,3,3,3.237333333,1,33.17
1_2,6,poom,2,93,44,Left,0,2,4,4,4.83725,1,33.17
1_2,5,yoom,2,93,44,Left,0,2,4,4,4.8485,1,33.17
1_2,5,yoon,2,93,44,Left,0,2,4,4,5.93425,1,33.17
1_2,7,pabe,2,93,44,Left,1,3,-2,4,6.0725,1,33.17
1_2,5,yage,2,93,44,Left,1,3,-2,4,6.2145,1,33.17
1_2,4,zofe,2,93,44,Left,2,3,-2,4,5.62775,1,33.17
1_2,4,zoge,2,93,44,Left,2,3,-2,4,5.5745,1,33.17
1_2,5,zote,2,93,44,Left,2,3,-2,4,7.33475,1,33.17
1_2,5,jeet,2,93,44,Left,1,2,-2,4,8.65325,1,33.17
1_2,4,tofe,2,93,44,Left,2,3,-2,4,7.87325,1,33.17
1_2,6,vofe,2,93,44,Left,2,3,-2,4,5.85375,1,33.17
1_2,4,zape,2,93,44,Left,2,2,-2,4,5.718,1,33.17
1_2,5,fope,2,93,44,Left,2,3,0,4,6.0915,1,33.17
1_2,5,pome,2,93,44,Left,1,3,2,4,6.136,1,33.17
1_2,5,yope,2,93,44,Left,1,3,2,4,6.028,1,33.17
1_2,5,zoke,2,93,44,Left,2,3,0,4,5.26375,1,33.17
1_2,4,zope,2,93,44,Left,2,3,0,4,5.553,1,33.17
1_2,4,doof,2,93,44,Left,2,2,0,4,5.37375,1,33.17
1_2,6,noof,2,93,44,Left,1,2,2,4,5.99775,1,33.17
1_2,4,toog,2,93,44,Left,2,2,0,4,6.52125,1,33.17
1_2,2,yoob,2,93,44,Left,1,2,2,4,,1,33.17
1_2,6,zood,2,93,44,Left,2,2,0,4,4.83525,1,33.17
1_2,4,pame,2,93,44,Left,3,3,0,4,6.301,1,33.17
1_2,5,peks,2,93,44,Left,3,3,0,4,5.4325,1,33.17
1_2,5,slek,2,93,44,Left,3,3,0,4,5.9565,1,33.17
1_2,4,spak,2,93,44,Left,3,3,0,4,4.29875,1,33.17
1_2,4,alak,2,93,44,Left,3,3,0,4,5.28275,1,33.17
1_2,5,lale,2,93,44,Left,3,3,0,4,7.22975,1,33.17
1_2,5,mepe,2,93,44,Left,3,3,0,4,7.43475,1,33.17
1_2,6,rocl,2,93,44,Left,3,3,0,4,5.07525,1,33.17
1_2,5,rorp,2,93,44,Left,3,3,0,4,5.3525,1,33.17
1_2,5,jote,2,93,44,Left,1,3,0,4,7.3545,1,33.17
1_2,5,mobe,2,93,44,Left,1,3,0,4,6.02675,1,33.17
1_2,5,yote,2,93,44,Left,1,3,0,4,7.80975,1,33.17
1_2,7,yove,2,93,44,Left,1,3,0,4,5.79025,1,33.17
1_2,5,yoze,2,93,44,Left,1,3,0,4,5.56425,1,33.17
1_2,5,deho,2,93,44,Left,1,2,0,4,7.639,1,33.17
1_2,5,edop,2,93,44,Left,1,2,0,4,6.59775,1,33.17
1_2,5,frol,2,93,44,Left,1,1,0,4,4.93675,1,33.17
1_2,5,loac,2,93,44,Left,1,2,0,4,5.62025,1,33.17
1_2,5,olra,2,93,44,Left,1,2,0,4,6.4215,1,33.17
1_2,5,yeem,2,93,44,Left,2,2,0,4,7.446,1,33.17
1_2,5,faw,3,97,45,right,0,2,-3,3,4.251666667,1,37.17
1_2,5,resz,3,97,45,right,0,3,-4,4,6.2725,1,37.17
1_2,5,saf,3,97,45,right,0,2,-3,3,5.574,1,37.17
1_2,5,zers,3,97,45,right,0,3,-4,4,6.2725,1,37.17
1_2,5,zet,3,97,45,right,0,2,-3,3,7.277333333,1,37.17
1_2,5,dafe,3,97,45,right,0,3,-4,4,6.8375,1,37.17
1_2,5,tafe,3,97,45,right,0,3,-4,4,8.03825,1,37.17
1_2,5,zade,3,97,45,right,0,1,-4,4,6.299,1,37.17
1_2,5,zeef,3,97,45,right,0,2,-4,4,6.9265,1,37.17
1_2,5,zeeg,3,97,45,right,0,2,-4,4,6.87325,1,37.17
1_2,5,hilp,3,97,45,right,0,3,4,4,4.7535,1,37.17
1_2,5,hok,3,97,45,right,0,2,3,3,4.791,1,37.17
1_2,5,joi,3,97,45,right,0,2,3,3,4.875333333,1,37.17
1_2,5,kop,3,97,45,right,0,2,3,3,3.402666667,1,37.17
1_2,5,mok,3,97,45,right,0,2,3,3,3.561666667,1,37.17
1_2,5,hiol,3,97,45,right,0,2,4,4,6.148,1,37.17
1_2,5,kiy,3,97,45,right,0,1,3,3,3.237333333,1,37.17
1_2,7,poom,3,97,45,right,0,2,4,4,4.83725,1,37.17
1_2,5,yoom,3,97,45,right,0,2,4,4,4.8485,1,37.17
1_2,5,yoon,3,97,45,right,0,2,4,4,5.93425,1,37.17
1_2,5,pabe,3,97,45,right,1,3,-2,4,6.0725,1,37.17
1_2,5,yage,3,97,45,right,1,3,-2,4,6.2145,1,37.17
1_2,5,zofe,3,97,45,right,2,3,-2,4,5.62775,1,37.17
1_2,5,zoge,3,97,45,right,2,3,-2,4,5.5745,1,37.17
1_2,5,zote,3,97,45,right,2,3,-2,4,7.33475,1,37.17
1_2,5,jeet,3,97,45,right,1,2,-2,4,8.65325,1,37.17
1_2,5,tofe,3,97,45,right,2,3,-2,4,,1,37.17
1_2,5,vofe,3,97,45,right,2,3,-2,4,5.85375,1,37.17
1_2,5,zape,3,97,45,right,2,2,-2,4,5.718,1,37.17
1_2,5,fope,3,97,45,right,2,3,0,4,6.0915,1,37.17
1_2,5,pome,3,97,45,right,1,3,2,4,6.136,1,37.17
1_2,5,yope,3,97,45,right,1,3,2,4,6.028,1,37.17
1_2,6,zoke,3,97,45,right,2,3,0,4,5.26375,1,37.17
1_2,5,zope,3,97,45,right,2,3,0,4,5.553,1,37.17
1_2,5,doof,3,97,45,right,2,2,0,4,5.37375,1,37.17
1_2,5,noof,3,97,45,right,1,2,2,4,5.99775,1,37.17
1_2,5,toog,3,97,45,right,2,2,0,4,6.52125,1,37.17
1_2,5,yoob,3,97,45,right,1,2,2,4,4.62,1,37.17
1_2,5,zood,3,97,45,right,2,2,0,4,4.83525,1,37.17
1_2,5,pame,3,97,45,right,3,3,0,4,6.301,1,37.17
1_2,5,peks,3,97,45,right,3,3,0,4,5.4325,1,37.17
1_2,5,slek,3,97,45,right,3,3,0,4,5.9565,1,37.17
1_2,5,spak,3,97,45,right,3,3,0,4,4.29875,1,37.17
1_2,5,alak,3,97,45,right,3,3,0,4,5.28275,1,37.17
1_2,5,lale,3,97,45,right,3,3,0,4,7.22975,1,37.17
1_2,5,mepe,3,97,45,right,3,3,0,4,7.43475,1,37.17
1_2,5,rocl,3,97,45,right,3,3,0,4,5.07525,1,37.17
1_2,5,rorp,3,97,45,right,3,3,0,4,5.3525,1,37.17
1_2,5,jote,3,97,45,right,1,3,0,4,7.3545,1,37.17
1_2,5,mobe,3,97,45,right,1,3,0,4,6.02675,1,37.17
1_2,5,yote,3,97,45,right,1,3,0,4,7.80975,1,37.17
1_2,5,yove,3,97,45,right,1,3,0,4,5.79025,1,37.17
1_2,5,yoze,3,97,45,right,1,3,0,4,5.56425,1,37.17
1_2,5,deho,3,97,45,right,1,2,0,4,7.639,1,37.17
1_2,5,edop,3,97,45,right,1,2,0,4,6.59775,1,37.17
1_2,5,frol,3,97,45,right,1,1,0,4,4.93675,1,37.17
1_2,5,loac,3,97,45,right,1,2,0,4,5.62025,1,37.17
1_2,5,olra,3,97,45,right,1,2,0,4,6.4215,1,37.17
1_2,5,yeem,3,97,45,right,2,2,0,4,7.446,1,37.17
1_2,3,faw,4,75,53,right,0,2,-3,3,4.251666667,1,15.17
1_2,1,resz,4,75,53,right,0,3,-4,4,6.2725,1,15.17
1_2,1,saf,4,75,53,right,0,2,-3,3,5.574,1,15.17
1_2,1,zers,4,75,53,right,0,3,-4,4,6.2725,1,15.17
1_2,1,zet,4,75,53,right,0,2,-3,3,7.277333333,1,15.17
1_2,1,dafe,4,75,53,right,0,3,-4,4,6.8375,1,15.17
1_2,1,tafe,4,75,53,right,0,3,-4,4,8.03825,1,15.17
1_2,1,zade,4,75,53,right,0,1,-4,4,6.299,1,15.17
1_2,1,zeef,4,75,53,right,0,2,-4,4,6.9265,1,15.17
1_2,1,zeeg,4,75,53,right,0,2,-4,4,6.87325,1,15.17
1_2,2,hilp,4,75,53,right,0,3,4,4,4.7535,1,15.17
1_2,1,hok,4,75,53,right,0,2,3,3,4.791,1,15.17
1_2,5,joi,4,75,53,right,0,2,3,3,4.875333333,1,15.17
1_2,1,kop,4,75,53,right,0,2,3,3,3.402666667,1,15.17
1_2,5,mok,4,75,53,right,0,2,3,3,3.561666667,1,15.17
1_2,2,hiol,4,75,53,right,0,2,4,4,,1,15.17
1_2,3,kiy,4,75,53,right,0,1,3,3,3.237333333,1,15.17
1_2,8,poom,4,75,53,right,0,2,4,4,4.83725,1,15.17
1_2,1,yoom,4,75,53,right,0,2,4,4,4.8485,1,15.17
1_2,1,yoon,4,75,53,right,0,2,4,4,5.93425,1,15.17
1_2,1,pabe,4,75,53,right,1,3,-2,4,6.0725,1,15.17
1_2,1,yage,4,75,53,right,1,3,-2,4,6.2145,1,15.17
1_2,1,zofe,4,75,53,right,2,3,-2,4,5.62775,1,15.17
1_2,1,zoge,4,75,53,right,2,3,-2,4,5.5745,1,15.17
1_2,1,zote,4,75,53,right,2,3,-2,4,7.33475,1,15.17
1_2,1,jeet,4,75,53,right,1,2,-2,4,8.65325,1,15.17
1_2,1,tofe,4,75,53,right,2,3,-2,4,7.87325,1,15.17
1_2,4,vofe,4,75,53,right,2,3,-2,4,5.85375,1,15.17
1_2,1,zape,4,75,53,right,2,2,-2,4,5.718,1,15.17
1_2,1,fope,4,75,53,right,2,3,0,4,6.0915,1,15.17
1_2,2,pome,4,75,53,right,1,3,2,4,6.136,1,15.17
1_2,2,yope,4,75,53,right,1,3,2,4,6.028,1,15.17
1_2,1,zoke,4,75,53,right,2,3,0,4,5.26375,1,15.17
1_2,9,zope,4,75,53,right,2,3,0,4,5.553,1,15.17
1_2,6,doof,4,75,53,right,2,2,0,4,5.37375,1,15.17
1_2,2,noof,4,75,53,right,1,2,2,4,5.99775,1,15.17
1_2,1,toog,4,75,53,right,2,2,0,4,6.52125,1,15.17
1_2,7,yoob,4,75,53,right,1,2,2,4,4.62,1,15.17
1_2,1,zood,4,75,53,right,2,2,0,4,4.83525,1,15.17
1_2,4,pame,4,75,53,right,3,3,0,4,6.301,1,15.17
1_2,6,peks,4,75,53,right,3,3,0,4,5.4325,1,15.17
1_2,2,slek,4,75,53,right,3,3,0,4,5.9565,1,15.17
1_2,2,spak,4,75,53,right,3,3,0,4,4.29875,1,15.17
1_2,2,alak,4,75,53,right,3,3,0,4,5.28275,1,15.17
1_2,1,lale,4,75,53,right,3,3,0,4,7.22975,1,15.17
1_2,1,mepe,4,75,53,right,3,3,0,4,7.43475,1,15.17
1_2,1,rocl,4,75,53,right,3,3,0,4,5.07525,1,15.17
1_2,1,rorp,4,75,53,right,3,3,0,4,5.3525,1,15.17
1_2,1,jote,4,75,53,right,1,3,0,4,7.3545,1,15.17
1_2,4,mobe,4,75,53,right,1,3,0,4,6.02675,1,15.17
1_2,1,yote,4,75,53,right,1,3,0,4,7.80975,1,15.17
1_2,1,yove,4,75,53,right,1,3,0,4,5.79025,1,15.17
1_2,2,yoze,4,75,53,right,1,3,0,4,5.56425,1,15.17
1_2,1,deho,4,75,53,right,1,2,0,4,7.639,1,15.17
1_2,1,edop,4,75,53,right,1,2,0,4,6.59775,1,15.17
1_2,1,frol,4,75,53,right,1,1,0,4,4.93675,1,15.17
1_2,1,loac,4,75,53,right,1,2,0,4,5.62025,1,15.17
1_2,1,olra,4,75,53,right,1,2,0,4,6.4215,1,15.17
1_2,1,yeem,4,75,53,right,2,2,0,4,7.446,1,15.17
1_2,4,faw,5,91,67,right,0,2,-3,3,4.251666667,1,31.17
1_2,6,resz,5,91,67,right,0,3,-4,4,6.2725,1,31.17
1_2,2,saf,5,91,67,right,0,2,-3,3,5.574,1,31.17
1_2,2,zers,5,91,67,right,0,3,-4,4,6.2725,1,31.17
1_2,4,zet,5,91,67,right,0,2,-3,3,7.277333333,1,31.17
1_2,1,dafe,5,91,67,right,0,3,-4,4,6.8375,1,31.17
1_2,3,tafe,5,91,67,right,0,3,-4,4,8.03825,1,31.17
1_2,2,zade,5,91,67,right,0,1,-4,4,6.299,1,31.17
