posemo,negemo
0.00,0.00
8.33,0.00
0.00,7.69
0.00,0.00
0.00,0.00
0.00,0.00
5.56,5.56
0.00,7.69
0.00,0.00
0.00,10.53
0.00,0.00
11.11,0.00
0.00,5.88
0.00,0.00
0.00,4.76
0.00,0.00
4.17,0.00
0.00,0.00
4.55,0.00
0.00,3.57
8.00,4.00
0.00,6.45
0.00,3.33
3.57,0.00
3.12,0.00
2.56,2.56
8.33,0.00
0.00,3.23
7.69,0.00
0.00,10.34
8.57,2.86
2.44,0.00
4.35,6.52
0.00,0.00
0.00,2.70
0.00,2.17
0.00,2.17
6.25,4.17
4.08,0.00
1.82,1.82
1.92,1.92
0.00,4.35
4.00,0.00
1.82,1.82
5.17,1.72
0.00,1.75
0.00,5.17
1.82,0.00
0.00,0.00
1.85,1.85
0.00,6.67
1.64,3.28
4.55,3.03
4.76,0.00
3.51,0.00
1.30,3.90
5.71,7.14
2.74,2.74
6.90,6.90
4.00,4.00
2.50,3.75
4.60,9.20
8.97,0.00
1.04,5.21
1.09,0.00
3.12,1.04
9.01,0.90
0.93,0.93
3.17,1.59
0.83,0.83
3.25,3.25
2.05,3.42
1.08,1.61
2.01,2.08
1.81,2.45
2.42,2.20
2.86,2.34
2.10,1.69
1.76,1.11
1.77,1.33
2.63,1.77
1.82,1.84
0.00,9.09
12.50,0.00
0.00,0.00
0.00,11.11
0.00,0.00
0.00,11.11
0.00,0.00
0.00,0.00
0.00,11.11
0.00,0.00
10.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,11.11
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
9.09,0.00
0.00,0.00
0.00,0.00
0.00,11.11
11.11,0.00
0.00,0.00
0.00,0.00
7.69,7.69
0.00,0.00
0.00,11.11
0.00,9.09
10.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,9.09
0.00,0.00
0.00,0.00
9.09,0.00
0.00,18.18
0.00,7.69
0.00,0.00
0.00,8.33
0.00,0.00
0.00,0.00
0.00,7.69
0.00,0.00
0.00,10.00
0.00,0.00
0.00,7.69
0.00,9.09
0.00,9.09
0.00,11.11
11.11,0.00
11.11,11.11
0.00,10.00
0.00,0.00
0.00,10.00
0.00,0.00
0.00,8.33
0.00,9.09
23.08,15.38
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,11.11
0.00,8.33
0.00,7.14
0.00,0.00
0.00,9.09
0.00,0.00
0.00,15.38
0.00,0.00
0.00,8.33
0.00,7.14
0.00,0.00
7.69,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,9.09
0.00,11.11
0.00,0.00
0.00,10.00
0.00,8.33
0.00,9.09
0.00,0.00
0.00,0.00
0.00,0.00
9.09,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,8.33
0.00,8.33
0.00,8.33
0.00,9.09
0.00,0.00
9.09,9.09
0.00,0.00
0.00,7.14
18.18,9.09
0.00,0.00
0.00,8.33
8.33,0.00
0.00,0.00
0.00,0.00
0.00,7.69
6.67,6.67
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
8.33,8.33
0.00,8.33
0.00,0.00
0.00,6.67
23.08,0.00
7.14,0.00
0.00,0.00
0.00,0.00
7.14,0.00
0.00,15.38
0.00,0.00
0.00,6.67
0.00,7.14
0.00,0.00
0.00,6.67
0.00,7.14
0.00,9.09
0.00,16.67
6.25,0.00
0.00,0.00
0.00,8.33
0.00,10.00
0.00,6.67
0.00,0.00
0.00,0.00
0.00,8.33
0.00,0.00
0.00,0.00
7.69,0.00
