group,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,total1,total2,total3
Random Random,,4,7,4,4,7,1,4,4,1,7,4,4,1,,4,4,4,4,4,104,101,105
Random Not,,7,7,7,6,7,1,6,4,1,7,7,7,4,4,7,1,7,1,7,101,102,106
Random Not,1,6,7,2,7,1,5,1,3,7,1,1,7,7,1,1,5,7,6,1,103,109,112
Random Not,1,4,2,6,4,5,3,3,6,5,4,6,4,2,3,6,4,4,3,5,109,109,110
Random Not,1,4,4,4,7,4,1,1,3,7,1,1,7,4,4,5,4,7,7,2,103,108,105
Random Not,1,2,4,3,6,1,6,4,5,2,6,3,7,2,4,3,5,2,6,3,103,100,106
Random Not,1,2,4,6,5,4,4,4,5,5,4,5,4,5,4,5,5,5,5,4,105,103,108
Random Not,1,7,5,5,6,3,4,3,3,5,2,2,3,6,5,3,3,5,7,3,106,107,110
Random Not,1,7,3,5,2,5,2,5,2,5,2,5,5,5,6,2,6,2,6,6,107,105,105
Random Not,1,6,7,4,6,5,1,5,3,7,5,3,6,1,6,6,3,4,6,6,107,108,112
Random Not,1,2,3,3,7,5,5,4,5,5,5,6,5,6,6,5,6,5,4,5,109,110,113
Random Not,1,7,5,6,6,3,1,4,3,5,3,2,6,1,7,7,5,5,7,3,101,108,107
Random Not,1,7,1,1,7,1,7,1,1,7,1,1,1,7,7,1,7,7,7,1,101,105,110
Random Not,1,6,4,3,7,1,4,4,4,5,1,1,7,4,7,4,5,4,7,3,107,110,109
Random Not,1,1,7,7,1,6,1,7,7,1,7,7,7,1,7,3,1,1,1,7,107,106,110
Random Not,1,5,6,5,7,3,1,5,4,6,4,4,7,1,7,7,2,1,3,5,109,110,113
Random Random,1,6,2,3,6,3,3,2,2,6,3,2,6,2,7,2,6,6,6,2,103,109,107
Random Random,1,7,5,1,7,1,4,3,3,7,1,1,1,4,,1,7,4,7,1,103,107,109
Random Random,1,3,5,5,7,5,1,5,4,4,5,2,7,7,,7,3,2,4,6,101,103,106
Random Random,1,6,3,5,5,5,3,5,4,5,3,2,5,2,,2,3,2,5,2,99,101,103
Random Random,1,3,6,7,4,7,1,5,7,1,7,4,5,3,,3,1,4,4,7,97,100,99
Random Random,1,7,1,1,7,1,5,1,1,7,1,4,7,4,,2,4,7,7,1,105,104,108
Random Random,1,7,5,2,7,4,1,1,2,5,2,3,7,1,,7,2,7,7,5,108,110,109
Random Random,1,7,6,3,2,5,1,5,3,2,1,3,7,3,,3,5,3,3,5,97,102,101
Random Random,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,102,105,104
Random Random,1,1,7,6,1,2,7,3,7,1,4,7,7,4,1,5,6,1,3,2,105,108,109
Random Random,1,7,4,6,6,4,3,4,4,4,7,2,7,2,4,7,4,4,4,4,97,100,103
Random Random,1,3,6,4,5,6,1,3,5,6,1,1,4,3,7,1,4,3,5,4,102,109,106
Random Random,1,7,7,5,7,4,1,5,5,7,3,4,7,1,7,2,5,1,3,5,102,105,108
