region,marital,ed,retire,gender,tollfree,equip,callcard,wireless,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,custcat,churn
Zone 2,Married,College degree,No,Male,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Basic service,Yes
Zone 3,Married,Post-undergraduate degree,No,Male,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Total service,Yes
Zone 3,Married,Did not complete high school,No,Female,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Plus service,No
Zone 2,Unmarried,High school degree,No,Female,No,No,No,No,No,No,No,No,No,No,No,No,No,Basic service,Yes
Zone 2,Married,Did not complete high school,No,Male,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Plus service,No
Zone 2,Unmarried,High school degree,No,Female,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Plus service,No
Zone 3,Married,High school degree,No,Female,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,E-service,Yes
Zone 2,Unmarried,High school degree,No,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Total service,No
Zone 3,Married,College degree,No,Male,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Plus service,No
Zone 1,Married,Did not complete high school,No,Male,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,E-service,No
Zone 2,Unmarried,College degree,No,Female,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Basic service,Yes
Zone 3,Unmarried,High school degree,No,Female,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Plus service,No
Zone 1,Married,High school degree,No,Female,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Basic service,No
Zone 2,Married,College degree,No,Female,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Total service,Yes
