method,sessions,correct,delay
clicker,5 sessions,7,19
clicker,5 sessions,7,17
clicker,5 sessions,8,19
clicker,5 sessions,9,18
clicker,5 sessions,9,18
clicker,10 sessions,11,16
clicker,10 sessions,10,17
clicker,10 sessions,12,18
clicker,10 sessions,11,15
clicker,10 sessions,8,16
clicker,15 sessions,15,13
clicker,15 sessions,9,12
clicker,15 sessions,12,13
clicker,15 sessions,15,11
clicker,15 sessions,10,13
traditional,5 sessions,10,15
traditional,5 sessions,9,15
traditional,5 sessions,11,15
traditional,5 sessions,13,13
traditional,5 sessions,9,17
traditional,10 sessions,15,14
traditional,10 sessions,22,14
traditional,10 sessions,19,13
traditional,10 sessions,13,13
traditional,10 sessions,28,15
traditional,15 sessions,21,10
traditional,15 sessions,21,10
traditional,15 sessions,16,12
traditional,15 sessions,32,11
traditional,15 sessions,43,11
