id,type,present,avaliable,affordable,mastery,ambiguity,risktaking,PP.clear.choice,NP.clear.choice,PF.clear.choice,NF.clear.choice
64232,Probability,OR,3.222222222,3.625,2.571428571,3.833333333,3.166666667,6,5,6,6
63741,Probability,OR,3.222222222,3.5,2.142857143,3.333333333,3,2,2,4,4
64710,Probability,OR,3.333333333,4.125,2.714285714,3.166666667,2.833333333,5,5,4,3
64901,Probability,OR,3.777777778,5.25,2.714285714,4,3,5,5,5,4
64939,Probability,OR,3.111111111,2.75,3.142857143,3.666666667,4.333333333,6,7,6,5
64555,Probability,OR,3.444444444,3.625,2,3.166666667,3,5,5,5,5
63783,Probability,OR,3.666666667,3.625,3.142857143,3.666666667,3,5,5,4,3
64941,Probability,OR,2.777777778,4.625,1.142857143,3.333333333,3.5,5,3,2,2
64544,Probability,OR,3.111111111,4.75,2,2.5,3,4,6,4,5
64492,Probability,OR,2.444444444,4.625,3.142857143,2.666666667,3.333333333,5,6,5,5
63868,Probability,OR,4.333333333,5.375,2.571428571,4,2.833333333,6,5,3,3
64938,Probability,OR,3.222222222,3.875,2.571428571,3,2.833333333,5,5,5,3
64123,Probability,OR,3.777777778,5.25,3,3.333333333,3,6,6,6,4
64434,Probability,OR,3.222222222,4.25,3,3.5,2.333333333,5,6,5,5
63982,Probability,OR,3.222222222,3.625,2.285714286,4.333333333,2.833333333,6,6,4,5
64871,Probability,OR,3.222222222,4.625,2.857142857,3.5,3,3,3,3,3
64194,Probability,OR,2.555555556,4.625,2.571428571,3.166666667,3.333333333,5,5,3,3
64611,Probability,OR,3,3,2.285714286,3.833333333,4,7,6,5,6
64301,Probability,OR,3.111111111,4,3.142857143,3.166666667,3.333333333,5,4,5,4
64423,Probability,OR,2.666666667,4.25,2.428571429,3,3.333333333,1,2,5,3
64126,Probability,OR,2.333333333,3.125,2,2.5,4,6,3,6,5
64150,Probability,OR,1.888888889,5.375,2.571428571,2.833333333,4.333333333,5,6,5,6
64476,Probability,OR,3.333333333,3.625,2.857142857,3,3.333333333,7,6,6,6
64729,Probability,OR,3.222222222,3.5,3.428571429,3.5,2.666666667,6,6,6,6
64495,Probability,OR,3.222222222,5.5,1.857142857,3,3.833333333,5,6,5,5
64298,Probability,OR,3,4.375,2.428571429,3.833333333,2.333333333,3,6,6,5
63813,Probability,OR,3.444444444,5.75,1,2.833333333,1.833333333,7,7,6,7
64446,Probability,OR,2.777777778,4.5,3.142857143,2.833333333,4.333333333,6,6,6,5
63680,Probability,OR,2.777777778,3,2.571428571,4.166666667,4.333333333,4,7,4,6
64000,Probability,OR,2.444444444,4.5,2.285714286,3.333333333,3.166666667,5,5,3,5
63699,Probability,OR,2.888888889,5,3.285714286,3,2.833333333,5,5,5,5
64348,Probability,OR,4.333333333,3.375,2.571428571,3.333333333,1.5,6,6,7,6
64534,Probability,OR,3.888888889,4.625,3.571428571,3.666666667,2.833333333,5,7,5,2
64404,Probability,OR,2.666666667,4.75,2,2.666666667,3.166666667,5,5,2,2
64683,Probability,OR,3.888888889,4.875,1.142857143,3.333333333,1.5,6,6,7,6
63666,Probability,OR,2.555555556,5,2.714285714,3.666666667,1.666666667,3,4,6,4
64463,Probability,OR,2.777777778,4.625,2,3,2.166666667,7,6,7,6
64134,Probability,OR,3.777777778,3.875,3,3.333333333,3,6,5,6,6
64896,Probability,OR,3.777777778,4.625,3.142857143,3.833333333,2.666666667,5,4,3,1
64400,Probability,OR,3.333333333,6,3.285714286,3.333333333,2.5,7,7,4,7
64987,Probability,OR,2.444444444,4,2.714285714,2.833333333,2.333333333,6,6,5,4
64346,Probability,OR,3.333333333,4.625,3.428571429,3.333333333,3.333333333,4,4,5,4
64282,Probability,OR,3.111111111,3.5,2.857142857,3.166666667,3,4,5,5,5
63938,Probability,OR,3.222222222,5,2.714285714,3,2,2,6,6,6
64509,Probability,OR,4,6,2.285714286,2.666666667,4,7,7,6,7
65042,Probability,OR,2.333333333,5.25,2.714285714,3,3.333333333,5,4,4,5
64190,Probability,OR,4.111111111,6,2.428571429,4,3,6,6,5,7
63762,Probability,OR,2.555555556,5.25,2.571428571,2.333333333,3.5,7,7,2,7
64094,Probability,OR,2,5,2.428571429,3.833333333,4,5,5,5,3
63776,Probability,OR,3.333333333,4.375,2.714285714,3.333333333,3.5,6,6,6,6
64353,Probability,OR,2.666666667,4.875,2.428571429,2.833333333,4.166666667,7,1,2,3
64089,Probability,OR,3.111111111,3.875,2,4,2.166666667,6,7,6,4
66285,Probability,OR,2.888888889,5.5,2.714285714,4.166666667,4,6,3,5,6
66171,Probability,OR,2.666666667,3.5,2.857142857,2.666666667,3,5,1,1,1
66415,Probability,OR,2.777777778,5,2,3.166666667,2.5,2,2,2,1
66485,Probability,OR,3.888888889,3,2.714285714,3,2.666666667,3,3,6,1
67111,Probability,OR,4,4.875,2,3.5,2.833333333,5,6,6,6
66464,Probability,OR,2.888888889,3,2.285714286,2.5,2.333333333,7,4,2,6
65322,Probability,OR,3.111111111,3.375,2.285714286,3,2.5,6,5,5,6
66772,Probability,OR,3.666666667,5.375,2.142857143,4,2.666666667,5,5,2,2
66690,Probability,OR,3,4.125,1.857142857,4.666666667,3.5,1,1,1,1
65903,Probability,OR,3.111111111,4.25,3.428571429,2.833333333,3.333333333,4,5,4,5
65146,Probability,OR,2.333333333,3.25,3,2.666666667,3.333333333,5,5,5,5
66511,Probability,OR,3.222222222,4.875,2.142857143,2.166666667,2.666666667,6,6,6,6
66738,Probability,OR,3.222222222,4.625,2.857142857,3.166666667,3.333333333,5,6,5,6
66233,Probability,OR,3.111111111,3.875,2.571428571,3.333333333,3.5,6,6,6,6
65737,Probability,OR,3.555555556,4.875,1.857142857,3,2.5,6,6,6,6
66719,Probability,OR,2.444444444,4.5,1.571428571,3.666666667,2,3,3,3,3
66250,Probability,OR,3.222222222,3.625,3.428571429,4,2.5,5,5,5,5
65967,Probability,OR,3,3.25,3,3.5,3.166666667,5,6,4,4
65740,Probability,OR,3.222222222,4.125,1.714285714,3.833333333,2.666666667,4,6,4,4
66416,Probability,OR,3.777777778,2.5,2.714285714,2.666666667,3.5,6,6,2,2
66637,Probability,OR,2.222222222,4.25,3.142857143,3,2.5,6,6,5,5
66980,Probability,OR,3.333333333,5.5,1.285714286,3.666666667,2.166666667,6,6,6,6
66308,Probability,OR,3.111111111,3.125,2,3.833333333,4,5,5,6,5
65901,Probability,OR,3.555555556,3.5,2.714285714,3.166666667,4.166666667,6,6,6,6
66459,Probability,OR,4.222222222,2.875,2,2.666666667,2.833333333,7,6,5,6
66593,Probability,OR,3.666666667,4.5,1.571428571,2.333333333,2.333333333,6,6,6,6
66603,Probability,OR,4.444444444,4.125,1.285714286,2.666666667,3.666666667,6,5,6,4
65986,Probability,OR,3.555555556,5.375,2.714285714,4,3.833333333,6,6,6,5
66656,Probability,OR,4.111111111,3.875,1.857142857,3.666666667,3.5,2,5,2,3
66303,Probability,OR,3.111111111,4.25,1.857142857,3.666666667,4,3,3,3,3
65785,Probability,OR,3.888888889,5.375,2.428571429,3.833333333,3.833333333,5,6,5,6
66592,Probability,OR,2.333333333,3.875,2.714285714,3.333333333,2.833333333,3,3,3,3
67053,Probability,OR,3.555555556,4.875,3.285714286,3.5,3,7,7,4,3
