gender,ethnic,gpa,searchforhappiness,happinesstotal
female,caucasian,3.74,29,115
female,caucasian,3.76,25,115
female,caucasian,3.5,30,113
male,caucasian,3.45,11,117
female,caucasian,3.5,27,105
male,caucasian,2.2,30,114
female,caucasian,3,25,110
female,caucasian,3.82,24,108
female,caucasian,3.4,35,119
male,caucasian,3.15,22,86
female,caucasian,3.89,27,105
female,caucasian,3.65,25,89
female,caucasian,2,25,100
male,caucasian,3,19,101
female,caucasian,3,17,111
female,caucasian,3.5,27,105
female,caucasian,3.1,26,114
male,caucasian,4,29,121
female,caucasian,3.5,26,113
female,caucasian,3.5,25,102
female,caucasian,3,13,126
male,caucasian,1.98,5,115
female,caucasian,2.43,29,93
female,caucasian,2.8,28,112
female,caucasian,3.23,27,100
female,caucasian, ,16,107
female,caucasian, ,23,110
female,caucasian,2.2,26,131
female,caucasian,3.25,24,121
male,caucasian,2.5,29,100
female,caucasian,2.9,31,98
male,caucasian,3.25,23,111
male,caucasian,2.5,30,80
female,caucasian,2.9,31,119
male,caucasian,2.7,24,88
male,caucasian,2.65,35,67
male,caucasian,2.8,27,104
female,caucasian,3.5,35,116
female,caucasian,2.15,20,103
male,caucasian,2.8,22,103
female,caucasian,2.5,28,120
male,caucasian,2.9,21,105
female,caucasian,2.7,20,95
male,caucasian,2.1,19,113
female,caucasian,2,27,103
female,caucasian,3.5,25,121
female,caucasian,4,19,116
female,caucasian,3.5,30,112
female,caucasian,3.51,23,78
female,caucasian,3.8,31,123
female,caucasian,3.25,17,111
male,caucasian,3.8,27,131
female,caucasian,3,21,119
female,caucasian,3.77,30,117
female,caucasian,2,30,102
male,caucasian,2.5,24,95
male,caucasian,2.6,23,115
male,caucasian,2.2,30,88
male,caucasian,2.84,30,120
male,caucasian,2.5,29,112
male,caucasian,2,26,116
male,caucasian,3.2,31,111
female,caucasian,3,18,129
male,caucasian,3,30,103
female,caucasian,2.2,28,95
female,caucasian,3,29,100
female,caucasian,3,28,86
male,caucasian,3.6,25,130
male,caucasian,2.5,35,110
male,caucasian,2.5,34,95
female,caucasian,2.5,32,123
female,caucasian,3.73,24,109
male,caucasian,2.8,19,115
male,caucasian,3.2,31,104
female,caucasian,2.9,13,128
female,caucasian,2.2,12,118
female,caucasian,3.6,26,115
female,caucasian,3.6,20,117
female,caucasian,2.5,29,90
female,caucasian,3,17,110
male,caucasian,3.86,34,106
female,caucasian,3,6,131
female,caucasian,3.5,31,103
female,caucasian,3.75,13,109
male,caucasian,.75,33,96
female,caucasian,3.5,24,122
female,caucasian,2.5,26,100
female,caucasian,3,27,112
female,caucasian,3,22,104
female,caucasian,3.5,12,130
male,caucasian,3.7,23,102
female,caucasian,3.4,22,101
female,caucasian, ,30,92
female,caucasian,2.4,17,123
male,caucasian,2.5,30,100
female,caucasian,3.5,5,123
male,caucasian,3.2,30,114
female,caucasian,2.75,21,92
male,caucasian,3.8,28,107
female,caucasian,3.25,5,119
female,caucasian,3.68,20,119
male,caucasian,3,35,83
