quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7
80,78.75,84,76.442,69,84,76.389
80,75,84,76.442,75,78,76.389
75,76.875,78,77.885,67.5,69,69.444
70,78.75,82.5,75,72,57,61.111
75,69.375,78,75,73.5,60,70.833
57.5,73.125,78,69.231,69,82.5,69.444
75,65.625,70.5,69.231,70.5,70.5,75
76,62,67.5,78,71.88,75,23.86
56,60,65,60,71.88,64.66,75
68,64,67.5,70.5,65.63,71.12,71.59
65,75,70.5,76.442,64.5,64.5,56.944
65,65.625,72,73.558,55.5,69,72.222
60,63.75,63,75,67.5,78,63.889
63,69,66.25,57,70.31,59.48,75
67.5,67.5,60,54.808,69,69,69.444
73,58,68.75,42,68.75,54.31,75
73,64,65,69,75,59.48,57.95
67.5,69.375,78,72.115,49.5,81,56.944
70,60,78,57.692,73.5,72,56.944
73,60,63.75,60,67.19,51.72,71.59
65,75,75,64.904,55.5,72,62.5
70,78.75,57,72.115,63,63,61.111
67.5,63.75,43.5,64.904,66,64.5,54.167
62.5,71.25,48,50.481,60,75,58.333
62.5,63.75,61.5,69.231,49.5,40.5,66.667
71,73,52.5,67.5,59.38,71.12,75
62.5,60,75,53.365,66,54,65.278
67.5,61.875,67.5,67.788,69,61.5,66.667
68,51,62.5,72,65.63,56.9,75
50,58.125,60,49.038,45,52.5,54.167
60,75,78,46.154,67.5,61.5,59.722
55,69.375,64.5,51.923,55.5,51,50
65,58,68.75,48,73.44,69.83,47.73
75,79,47.5,75,73.44,64.66,64.77
70,75,81,70.673,64.5,66,65.278
55,56.25,54,69.231,70.5,48,55.556
66,69,60,46.5,76.56,71.12,71.59
70,65.625,81,66.346,63,52.5,65.278
71,47,66.25,54,54.69,59.48,75
60,60,57,60.577,64.5,36,51.389
65,67.5,60,62.019,58.5,51,63.889
55,61.875,64.5,62.019,48,51,62.5
68,62,60,51,51.56,53.02,57.95
60,54.375,54,50.481,57,45,59.722
67.5,61.875,72,50.481,61.5,63,51.389
73,62,65,75,56.25,51.72,64.77
45,39.375,46.5,41.827,45,34.5,45.833
55,45,55.5,36.058,66,57,62.5
75,65.625,69,73.558,61.5,28.5,54.167
57.5,48.75,42,36.058,43.5,21,68.056
70,54.375,67.5,64.904,61.5,36,73.611
72.5,69.375,52.5,64.904,75,40.5,61.111
67.5,63.75,52.5,47.596,66,31.5,61.111
37.5,43.125,64.5,70.673,70.5,55.5,54.167
62.5,58.125,75,43.269,64.5,39,61.111
55,61.875,43.5,36.058,64.5,51,51.389
68,75,66.25,34.5,68.75,47.84,15.34
75,58,47.5,54,42.19,42.67,61.36
57.5,43.125,42,38.942,54,30,55.556
62.5,63.75,46.5,49.038,55.5,57,54.167
75,67.5,70.5,57.692,51,57,44.444
50,31.875,57,66.346,60,36,45.833
77.5,63.75,61.5,72.115,63,57,68.056
65,52.5,43.5,44.712,75,63,65.278
60,0,38.75,54,59.38,55.6,23.86
61,43,56.25,45,48.44,28.45,42.61
60,46.875,54,69.231,46.5,40.5,65.278
40,48.75,0,38.942,51,0,43.056
73,58,56.25,43.5,51.56,43.97,23.86
66,47,31.25,33,42.19,12.93,46.02
61,54,45,21,46.88,43.97,8.52
77.5,69.375,37.5,36,70.5,72,65.278
65,65.625,40.5,33.173,55.5,37.5,33.333
50,18.75,46.5,34.615,51,21,56.944
50,58,35,10.5,53.13,37.5,57.95
35,53,0,24,68.75,60.78,61.36
72.5,58.125,76.5,76.442,67.5,0,48.611
