gender,culture,emotion
Male,Chinese,1
Male,Chinese,1
Male,Chinese,1
Male,Chinese,3
Male,Chinese,2
Male,Chinese,1
Male,Chinese,2
Male,Chinese,1
Male,Chinese,3
Male,Chinese,3
Male,Chinese,2
Male,Chinese,2
Male,Chinese,1
Male,Chinese,2
Male,Chinese,2
Male,American,2
Male,American,5
Male,American,3
Male,American,2
Male,American,1
Male,American,3
Male,American,2
Male,American,2
Male,American,2
Male,American,3
Male,American,3
Male,American,4
Male,American,4
Male,American,3
Male,American,4
Female,Chinese,4
Female,Chinese,6
Female,Chinese,3
Female,Chinese,1
Female,Chinese,5
Female,Chinese,4
Female,Chinese,4
Female,Chinese,3
Female,Chinese,4
Female,Chinese,3
Female,Chinese,2
Female,Chinese,3
Female,Chinese,4
Female,Chinese,4
Female,Chinese,1
Female,American,6
Female,American,5
Female,American,6
Female,American,7
Female,American,6
Female,American,6
Female,American,5
Female,American,8
Female,American,6
Female,American,6
Female,American,5
Female,American,6
Female,American,7
Female,American,6
Female,American,6
