gender,fear_fly,recent_fly,stress,positive
women,4.6,3,5.13,4.54
women,4,3,4.08,2.91
women,4.98,5,5.74,1.35
women,4.1,5,5.57,.37
women,4.76,4,4.78,3.93
women,4.58,3,3.04,4.1
women,4.15,6,6.35,5.32
women,4.37,5,6.16,2.94
women,5.55,1,6.12,1.94
women,5.51,8,.89,1.38
women,4.67,3,.74,3.07
women,5.07,5,2.93,1.52
women,5.29,4,1.88,5.47
women,4.9,3,2.57,1.3
women,4.73,5,2.71,4.07
women,4.89,3,5.21,3.64
women,4.84,7,2.45,2.74
women,4.85,7,7.06,1.69
women,4.5,6,5.71,2.9
women,4.76,6,3.74,3.08
women,4.65,1,7.5,3.43
women,4.36,2,2.87,2.9
women,5.76,6,3.38,5.36
women,5.14,1,6.78,4.88
women,4.02,4,4.97,2.55
women,3.98,6,2.85,4.34
women,5.45,6,1.88,6.18
women,5.08,1,1,1.11
women,4.67,3,7.2,1.4
women,4.85,2,1.11,2.99
women,5.13,4,5.81,4.1
women,4.87,7,2.53,4.49
women,3.82,2,3.05,3.04
women,5.7,3,5.16,1.42
women,5.08,5,6.17,1.44
women,4.41,4,.11,3.44
women,4.97,3,5.35,4.06
women,4.19,5,5.9,1.69
women,5.09,3,6.11,1.36
women,4.28,4,6.15,5.22
women,4.25,2,4.41,6.31
women,3.91,4,4.88,1.51
women,5.84,1,1.58,1.56
women,5.38,7,7.6,.82
women,5.32,3,1.02,.77
women,5.15,2,3.34,3.3
women,5.6,6,3.95,4.75
women,4.43,3,4.4,5.2
women,5.06,2,1.51,.57
women,4.65,3,6.61,2.02
men,3.54,6,5.43,.91
men,3.02,2,3.57,4.51
men,3.29,5,4.38,4.4
men,2.8,4,2.8,1.81
men,4.17,2,1.26,4.5
men,2.94,4,1.72,.9
men,3.8,2,4.44,.78
men,3.35,4,5.4,7.07
men,2.3,0,1.82,4.56
men,3.77,4,3.89,6.72
men,2.97,2,4.75,8.18
men,3.78,3,.68,4.14
men,3.86,5,2.84,6.63
men,2.72,3,3.12,1.11
men,3.17,3,4.63,1.06
men,3.16,4,2.52,6.04
men,3.12,2,1.78,.54
men,3.35,3,2.53,1.39
men,3.93,3,5.75,3.55
men,3.46,5,5.09,5.21
men,3.62,3,5.32,3.31
men,3.65,4,3.57,4.86
men,3.91,6,6.27,4.78
men,2.5,2,1.72,2.85
men,2.51,4,3.77,.4
men,2.98,2,3.68,4.24
men,3.2,5,4.41,2.55
men,3.13,3,2.24,4.9
men,2.81,2,3.04,6.18
men,3.72,5,4.03,3.46
men,3.45,2,1.81,4.83
men,3.43,4,1.1,2.4
men,2.13,4,2.55,2.07
men,3.41,3,5.03,4.69
men,3.29,4,3.85,6.23
men,3.79,3,4.01,3.91
men,3.41,5,4.66,5.3
men,4.48,3,2.58,6.11
men,2.98,3,.88,7.13
men,3.49,4,1.84,1.89
men,4.32,3,3.69,5.68
men,2.34,3,2.81,3.83
men,3.9,1,5.67,1.69
men,1.97,2,2.89,2.33
men,2.52,3,1.32,5.45
men,2.9,3,2.15,1.92
men,3.08,2,1.91,3.5
men,4,4,2.9,1.82
men,3.02,3,2.86,5.56
men,2.62,2,1.76,6.27
