league,innings,budget
0,30,8
1,0,0
0,28.57,5.32
0,27.71,8.68
0,25,0
1,0,0
0,30,9.32
0,19.83,2.68
1,30,0
1,0,4
0,0,0
0,30,2.68
1,25.71,2.68
0,30,2.68
0,0,2.68
1,0,2.68
0,17.14,14.68
1,11.33,1.32
1,10,1.32
1,0,0
1,30,2.68
0,0,0
1,21.43,8
0,8.29,1.32
1,0,0
1,0,0
1,0,6.68
1,0,6.68
0,30,1.32
0,30,5.32
1,25.71,20
1,4.29,2.68
0,30,2.68
0,28.43,5.32
1,0.29,0
1,0,4
0,17.14,0
1,0,0
0,9.67,0
1,24.5,4
0,30,8
0,0,0
0,24.33,2.68
0,0,4
1,27.86,1.32
1,0,0
0,0,0
1,4.29,1.32
0,29.86,10.68
0,29.67,5.32
0,30,14.68
0,22.14,9.32
1,25.43,2
1,30,2.68
1,30,1.32
1,30,1.32
1,30,2.68
1,30,10.68
0,13.43,7.32
0,17.14,0
1,14.14,2.68
1,30,2.68
0,14.14,6
1,18.71,0
0,5,1.32
0,30,4
0,0,0
1,0,0
0,30,5.32
1,8.57,6.68
1,30,2.68
0,30,5.32
1,20,0
1,11.67,1.32
1,29.5,1.32
1,0,4
0,30,5.32
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,30,1.32
1,0,1.32
0,0,1.32
1,0,4
1,24,6.68
0,30,4
1,0,0
0,30,10.68
1,21.2,0
1,15,0
1,30,4
1,30,0
0,30,13.32
0,0,1.32
1,0,0
1,29.5,9.32
1,0,2.68
0,1.75,3.32
0,30,4
1,0,2.68
1,15,2.68
1,0,3.32
0,10.5,2.68
1,0,1.32
1,27.27,10.68
0,30,5.32
1,30,8
